dataset	median_sd	lambda
Blood_Mexican	0.013190807	3.2131572
Blood_Cauc	0.017323535	5.0769672
Blood_PuertoRican	0.013831088	3.2669864
Saliva_Ken	0.011424523	4.5440474
Skin_UKTwin	0.016715823	2.516682
BulkFrontalCortex	0.017361978	4.8999386
Saliva_Born	0.011682833	4.200635
Buccals_Cauc	0.017713372	3.220444
PBMC_AfricanAmerican	0.012895399	3.4579349
Buccals_Sing_9mo	0.014977777	4.18401
Blood_Japan	0.015128483	3.2458723
Placenta	0.022252262	4.994543
CD4+_Estonian	0.016151648	2.6740608
Saliva_Hisp	0.014812476	3.2444332
Blood_Hisp	0.013952672	4.8655705
Blood_Gamb	0.00984534	5.109188
Saliva_Cauc	0.016713724	3.3665302
SuperiorTemporalGyrus	0.014962956	2.3478441
CordBlood	0.011992155	2.9670265
CD8+_Estonian	0.01854233	2.6284866
head and neck	0.015073507	4.3255844
kidney	0.01131898	4.4279404
colon	0.012640154	3.8456717
liver	0.013115781	4.355046
thyroid	0.011129934	5.007943
lung	0.010745329	4.485483
prostate	0.013675304	4.9651885
bladder	0.0097323265	4.356458
breast	0.015797267	3.8669198
uterus	0.010937844	5.41846
