coverage	frequency
0	381507337
1	42051224
2	30474825
3	26938035
4	27248178
5	27142302
6	28877159
7	29785117
8	32023396
9	33562425
10	36094891
11	38234448
12	41103600
13	43886817
14	47260934
15	50777338
16	54748448
17	59026020
18	63692413
19	68753827
20	74197441
21	80022844
22	86257837
23	92835838
24	99758793
25	106913810
26	114262184
27	121665768
28	129092514
29	136279997
30	143160119
31	149631928
32	155454752
33	160542802
34	164773470
35	168096388
36	170321265
37	171529610
38	171565872
39	170555261
40	168454098
41	165371599
42	161366689
43	156512601
44	150943801
45	144755410
46	138055099
47	131052704
48	123727299
49	116294179
50	108830683
51	101441444
52	94205224
53	87142517
54	80353708
55	73911018
56	67796421
57	62086243
58	56746793
59	51813596
60	47284524
61	43138940
62	39363283
63	35971412
64	32926963
65	30198874
66	27774129
67	25628014
68	23738369
69	22072083
70	20633398
71	19362622
72	18280426
73	17331149
74	16543069
75	15859448
76	15298313
77	14810174
78	14417876
79	14088297
80	13837076
81	13619119
82	13457410
83	13333315
84	13248321
85	13193621
86	13144766
87	13134129
88	13127623
89	13141198
90	13167814
91	13186117
92	13219779
93	13243180
94	13275953
95	13306075
96	13330591
97	13337281
98	13355738
99	13339224
100	13334133
101	13324212
102	13292703
103	13250918
104	13201991
105	13141503
106	13064315
107	12977335
108	12879114
109	12780668
110	12658818
111	12527582
112	12385256
113	12242723
114	12083492
115	11913660
116	11742704
117	11561305
118	11376295
119	11176635
120	10965662
121	10756123
122	10550902
123	10337597
124	10113823
125	9885230
126	9660823
127	9440527
128	9209232
129	8977599
130	8747756
131	8518514
132	8290889
133	8059615
134	7824906
135	7603880
136	7378741
137	7148355
138	6925408
139	6706252
140	6486490
141	6274100
142	6062657
143	5860695
144	5658986
145	5455791
146	5262926
147	5067601
148	4884242
149	4701040
150	4521228
151	4350657
152	4184967
153	4020872
154	3861117
155	3712083
156	3560940
157	3415759
158	3279549
159	3147714
160	3019006
161	2893205
162	2773050
163	2661049
164	2550684
165	2444751
166	2344008
167	2248435
168	2155793
169	2066101
170	1980198
171	1899984
172	1825642
173	1751395
174	1681028
175	1615363
176	1550881
177	1491317
178	1432685
179	1378348
180	1326026
181	1275345
182	1229572
183	1182192
184	1139781
185	1096875
186	1059818
187	1022342
188	986478
189	950846
190	918711
191	889211
192	859503
193	829454
194	802184
195	776075
196	750410
197	728352
198	703071
199	680943
200	659828
201	637632
202	618475
203	599108
204	580997
205	561474
206	544298
207	527272
208	510642
209	494927
210	478472
211	463827
212	448985
213	434827
214	421075
215	408653
216	394706
217	380617
218	368275
219	357585
220	345697
221	333574
222	323197
223	312166
224	301876
225	292164
226	281099
227	271339
228	262558
229	252893
230	244740
231	235618
232	226193
233	218689
234	210849
235	203054
236	195865
237	188518
238	181733
239	175473
240	168247
241	161518
242	156035
243	149956
244	143675
245	138966
246	133203
247	128650
248	124286
249	118805
250	114516
251	109425
252	105607
253	101047
254	97573
255	7308888
