sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001341982,AT_MZ1:1,TWPID5362_MZ1.1_AT.Run1.R1.fastq.gz,EGAF00000923055
EGAN00001341982,AT_MZ1:1,TWPID5362_MZ1.1_AT.Run1.R2.fastq.gz,EGAF00000923056
EGAN00001341982,AT_MZ1:1,TWPID5362_MZ1.1_AT.Run2.R1.fastq.gz,EGAF00000923057
EGAN00001341982,AT_MZ1:1,TWPID5362_MZ1.1_AT.Run2.R2.fastq.gz,EGAF00000923058
EGAN00001341983,AT_MZ1:2,TWPID6192_MZ1.2_AT.Run1.R1.fastq.gz,EGAF00000923177
EGAN00001341983,AT_MZ1:2,TWPID6192_MZ1.2_AT.Run1.R2.fastq.gz,EGAF00000923178
EGAN00001341984,AT_MZ2:1,TWPID6265_MZ2.1_AT.Run1.R1.fastq.gz,EGAF00000923185
EGAN00001341984,AT_MZ2:1,TWPID6265_MZ2.1_AT.Run1.R2.fastq.gz,EGAF00000923186
EGAN00001341984,AT_MZ2:1,TWPID6265_MZ2.1_AT.Run2.R1.fastq.gz,EGAF00000923187
EGAN00001341984,AT_MZ2:1,TWPID6265_MZ2.1_AT.Run2.R2.fastq.gz,EGAF00000923188
EGAN00001341985,AT_MZ2:2,TWPID5952_MZ2.2_AT.Run1.R1.fastq.gz,EGAF00000923428
EGAN00001341985,AT_MZ2:2,TWPID5952_MZ2.2_AT.Run1.R2.fastq.gz,EGAF00000923429
EGAN00001341985,AT_MZ2:2,TWPID5952_MZ2.2_AT.Run2.R1.fastq.gz,EGAF00000923430
EGAN00001341985,AT_MZ2:2,TWPID5952_MZ2.2_AT.Run2.R2.fastq.gz,EGAF00000923431
EGAN00001341986,AT_MZ3:1,TWPID8430_MZ3.1_AT.Run1.R1.fastq.gz,EGAF00000923073
EGAN00001341986,AT_MZ3:1,TWPID8430_MZ3.1_AT.Run1.R2.fastq.gz,EGAF00000923074
EGAN00001341986,AT_MZ3:1,TWPID8430_MZ3.1_AT.Run2.R1.fastq.gz,EGAF00000923075
EGAN00001341986,AT_MZ3:1,TWPID8430_MZ3.1_AT.Run2.R2.fastq.gz,EGAF00000923076
EGAN00001341987,AT_MZ3:2,TWPID8432_MZ3.2_AT.Run1.R1.fastq.gz,EGAF00000923081
EGAN00001341987,AT_MZ3:2,TWPID8432_MZ3.2_AT.Run1.R2.fastq.gz,EGAF00000923082
EGAN00001341987,AT_MZ3:2,TWPID8432_MZ3.2_AT.Run2.R1.fastq.gz,EGAF00000923083
EGAN00001341987,AT_MZ3:2,TWPID8432_MZ3.2_AT.Run2.R2.fastq.gz,EGAF00000923084
EGAN00001341988,AT_MZ4:1,TWPID9206_MZ4.1_AT.Run1.R1.fastq.gz,EGAF00000923197
EGAN00001341988,AT_MZ4:1,TWPID9206_MZ4.1_AT.Run1.R2.fastq.gz,EGAF00000923198
EGAN00001341988,AT_MZ4:1,TWPID9206_MZ4.1_AT.Run2.R1.fastq.gz,EGAF00000923199
EGAN00001341988,AT_MZ4:1,TWPID9206_MZ4.1_AT.Run2.R2.fastq.gz,EGAF00000923200
EGAN00001341989,AT_MZ4:2,TWPID9207_MZ4.2_AT.Run1.R1.fastq.gz,EGAF00000923205
EGAN00001341989,AT_MZ4:2,TWPID9207_MZ4.2_AT.Run1.R2.fastq.gz,EGAF00000923206
EGAN00001341990,AT_MZ5:1,TWPID11030_MZ5.1_AT.Run1.R1.fastq.gz,EGAF00000923112
EGAN00001341990,AT_MZ5:1,TWPID11030_MZ5.1_AT.Run1.R2.fastq.gz,EGAF00000923113
EGAN00001341991,AT_MZ5:2,TWPID11825_MZ5.2_AT.Run1.R1.fastq.gz,EGAF00000923344
EGAN00001341991,AT_MZ5:2,TWPID11825_MZ5.2_AT.Run1.R2.fastq.gz,EGAF00000923345
EGAN00001341992,AT_MZ6:1,TWPID6557_MZ6.1_AT.Run1.R1.fastq.gz,EGAF00000923229
EGAN00001341992,AT_MZ6:1,TWPID6557_MZ6.1_AT.Run1.R2.fastq.gz,EGAF00000923230
EGAN00001341992,AT_MZ6:1,TWPID6557_MZ6.1_AT.Run2.R1.fastq.gz,EGAF00000923231
EGAN00001341992,AT_MZ6:1,TWPID6557_MZ6.1_AT.Run2.R2.fastq.gz,EGAF00000923232
EGAN00001341993,AT_MZ6:2,TWPID6525_MZ6.2_AT.Run1.R1.fastq.gz,EGAF00000923225
EGAN00001341993,AT_MZ6:2,TWPID6525_MZ6.2_AT.Run1.R2.fastq.gz,EGAF00000923226
EGAN00001341993,AT_MZ6:2,TWPID6525_MZ6.2_AT.Run2.R1.fastq.gz,EGAF00000923227
EGAN00001341993,AT_MZ6:2,TWPID6525_MZ6.2_AT.Run2.R2.fastq.gz,EGAF00000923228
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run2.R1.fastq.gz,EGAF00000923059
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run2.R2.fastq.gz,EGAF00000923060
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run3.R1.fastq.gz,EGAF00000923169
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run3.R2.fastq.gz,EGAF00000923170
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run4.R1.fastq.gz,EGAF00000923171
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run4.R2.fastq.gz,EGAF00000923172
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run1.R1.fastq.gz,EGAF00000923394
EGAN00001341994,AT_MZ7:1,TWPID5490_MZ7.1_AT.Run1.R2.fastq.gz,EGAF00000923395
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run1.R1.fastq.gz,EGAF00000923173
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run1.R2.fastq.gz,EGAF00000923174
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run2.R1.fastq.gz,EGAF00000923422
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run2.R2.fastq.gz,EGAF00000923423
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run3.R1.fastq.gz,EGAF00000923424
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run3.R2.fastq.gz,EGAF00000923425
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run4.R1.fastq.gz,EGAF00000923426
EGAN00001341995,AT_MZ7:2,TWPID5722_MZ7.2_AT.Run4.R2.fastq.gz,EGAF00000923427
EGAN00001341996,AT_DZ1:1,TWPID2301_DZ1.1_AT.Run1.R1.fastq.gz,EGAF00000923041
EGAN00001341996,AT_DZ1:1,TWPID2301_DZ1.1_AT.Run1.R2.fastq.gz,EGAF00000923042
EGAN00001341997,AT_DZ1:2,TWPID2302_DZ1.2_AT.Run1.R1.fastq.gz,EGAF00000923047
EGAN00001341997,AT_DZ1:2,TWPID2302_DZ1.2_AT.Run1.R2.fastq.gz,EGAF00000923048
EGAN00001341997,AT_DZ1:2,TWPID2302_DZ1.2_AT.Run2.R1.fastq.gz,EGAF00000923049
EGAN00001341997,AT_DZ1:2,TWPID2302_DZ1.2_AT.Run2.R2.fastq.gz,EGAF00000923050
EGAN00001341998,AT_DZ2:1,TWPID10368_DZ2.1_AT.Run1.R1.fastq.gz,EGAF00000923299
EGAN00001341998,AT_DZ2:1,TWPID10368_DZ2.1_AT.Run1.R2.fastq.gz,EGAF00000923300
EGAN00001341999,AT_DZ2:2,TWPID10369_DZ2.2_AT.Run1.R1.fastq.gz,EGAF00000923322
EGAN00001341999,AT_DZ2:2,TWPID10369_DZ2.2_AT.Run1.R2.fastq.gz,EGAF00000923323
EGAN00001342000,AT_DZ3:1,TWPID10370_DZ3.1_AT.Run1.R1.fastq.gz,EGAF00000923326
EGAN00001342000,AT_DZ3:1,TWPID10370_DZ3.1_AT.Run1.R2.fastq.gz,EGAF00000923327
EGAN00001342001,AT_DZ3:2,TWPID10377_DZ3.2_AT.Run1.R1.fastq.gz,EGAF00000923332
EGAN00001342001,AT_DZ3:2,TWPID10377_DZ3.2_AT.Run1.R2.fastq.gz,EGAF00000923333
EGAN00001342002,AT_DZ4:1,TWPID10934_DZ4.1_AT.Run1.R1.fastq.gz,EGAF00000923342
EGAN00001342002,AT_DZ4:1,TWPID10934_DZ4.1_AT.Run1.R2.fastq.gz,EGAF00000923343
EGAN00001342003,AT_DZ4:2,TWPID10935_DZ4.2_AT.Run1.R1.fastq.gz,EGAF00000923108
EGAN00001342003,AT_DZ4:2,TWPID10935_DZ4.2_AT.Run1.R2.fastq.gz,EGAF00000923109
EGAN00001342004,AT_DZ5:1,TWPID2115_DZ5.1_AT.Run2.R1.fastq.gz,EGAF00000923035
EGAN00001342004,AT_DZ5:1,TWPID2115_DZ5.1_AT.Run2.R2.fastq.gz,EGAF00000923036
EGAN00001342004,AT_DZ5:1,TWPID2115_DZ5.1_AT.Run1.R1.fastq.gz,EGAF00000923372
EGAN00001342004,AT_DZ5:1,TWPID2115_DZ5.1_AT.Run1.R2.fastq.gz,EGAF00000923373
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run1.R1.fastq.gz,EGAF00000923037
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run1.R2.fastq.gz,EGAF00000923038
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run4.R1.fastq.gz,EGAF00000923039
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run4.R2.fastq.gz,EGAF00000923040
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run2.R1.fastq.gz,EGAF00000923374
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run2.R2.fastq.gz,EGAF00000923375
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run3.R1.fastq.gz,EGAF00000923376
EGAN00001342005,AT_DZ5:2,TWPID2116_DZ5.2_AT.Run3.R2.fastq.gz,EGAF00000923377
EGAN00001342006,AT_DZ6:1,TWPID6997_DZ6.1_AT.Run2.R1.fastq.gz,EGAF00000923061
EGAN00001342006,AT_DZ6:1,TWPID6997_DZ6.1_AT.Run2.R2.fastq.gz,EGAF00000923062
EGAN00001342006,AT_DZ6:1,TWPID6997_DZ6.1_AT.Run1.R1.fastq.gz,EGAF00000923245
EGAN00001342006,AT_DZ6:1,TWPID6997_DZ6.1_AT.Run1.R2.fastq.gz,EGAF00000923246
EGAN00001342007,AT_DZ6:2,TWPID7088_DZ6.2_AT.Run1.R1.fastq.gz,EGAF00000923063
EGAN00001342007,AT_DZ6:2,TWPID7088_DZ6.2_AT.Run1.R2.fastq.gz,EGAF00000923064
EGAN00001342008,AT_ST1,TWPID2268_ST1_AT.Run1.R1.fastq.gz,EGAF00000923378
EGAN00001342008,AT_ST1,TWPID2268_ST1_AT.Run1.R2.fastq.gz,EGAF00000923379
EGAN00001342009,AT_ST2,TWPID3775_ST2_AT.Run1.R1.fastq.gz,EGAF00000923382
EGAN00001342009,AT_ST2,TWPID3775_ST2_AT.Run1.R2.fastq.gz,EGAF00000923383
EGAN00001342010,AT_ST3,TWPID4446_ST3_AT.Run1.R1.fastq.gz,EGAF00000923384
EGAN00001342010,AT_ST3,TWPID4446_ST3_AT.Run1.R2.fastq.gz,EGAF00000923385
EGAN00001342010,AT_ST3,TWPID4446_ST3_AT.Run2.R1.fastq.gz,EGAF00000923386
