ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,group_raw,ontology,group
GO:0007156,homophilic cell-cell adhesion,37/1213,126/13120,0.293650793650794,3.17617346471427,7.83406086536567,9.98957280641105e-11,5.18558724380798e-07,5.18558724380798e-07,PCDHGA7/TENM3/ROBO1/ROBO2/CNTN6/CELSR3/PCDHGB1/PCDH11X/PCDHGA6/CDH13/PCDHGA5/CNTN4/PCDHGB4/PCDHGA4/CNTN2/PCDHGA8/DSG4/PCDHGB2/SDK1/HMCN2/CELSR1/CDH22/CDH5/PCDHGA2/PCDH9/PCDHGB3/PCDH15/DSC3/PCDH19/PLXNB2/PECAM1/PTPRT/PCDHGA1/PALLD/FAT3/PCDHGA3/DSCAML1,37,top90SNPrm,BP,top99q
GO:0007416,synapse assembly,44/1213,223/13120,0.197309417040359,2.13412988587758,5.45193244827421,9.91624821356508e-07,0.00171584148255388,0.00171584148255388,SLITRK2/DOCK4/EPHB2/NRG3/NRXN3/LZTS1/ROBO2/SRPX2/GABRB3/PTPRD/ARHGAP33/GRID2/SHANK2/UBE3B/GABRA1/GAP43/ASIC2/LRP4/DRD2/PRICKLE1/EGFLAM/PLXNC1/SDK1/ADGRL2/IL1RAPL2/GABRA5/ARHGAP4/RTN4RL1/SLITRK4/EFNA5/HAPLN4/EPHB3/EPHB1/DOCK1/NLGN1/CSMD2/PLXNB2/DNER/GABRG1/PDLIM5/THBS2/IL1RAPL1/NTN1/OPCML,44,top90SNPrm,BP,top99q
GO:0008038,neuron recognition,13/1213,38/13120,0.342105263157895,3.70026467653057,5.32035548143619,2.02300371087979e-05,0.0175023537719617,0.0175023537719617,EPHB2/ROBO1/ROBO2/CNTN6/CNTN4/GAP43/CNTN2/EFNA5/EPHB3/SEMA5A/PALLD/DSCAML1/OPCML,13,top90SNPrm,BP,top99q
GO:0050919,negative chemotaxis,13/1213,43/13120,0.302325581395349,3.27000134205027,4.75867307623993,8.81674855736887e-05,0.0404204728306088,0.0404204728306088,ROBO1/NRG3/ROBO2/SEMA6A/ITGB3/SEMA5B/SEMA3E/EFNA5/SLIT3/SEMA5A/SLIT2/SEMA6D/NTN1,13,top90SNPrm,BP,top99q
GO:0007411,axon guidance,31/1213,166/13120,0.186746987951807,2.01988498097915,4.22068444344265,0.000112998408990078,0.0438602741744012,0.0438602741744012,EPHB2/TENM3/ROBO1/NRXN3/ROBO2/CNTN6/CELSR3/SEMA6A/PRKCQ/EPHA6/SEMA5B/CNTN4/GAP43/CNTN2/SEMA3E/KALRN/HMCN2/TENM4/UNC5B/EFNA5/EPHB3/EPHB1/SLIT3/TENM2/NFASC/SEMA5A/SLIT2/PALLD/SEMA6D/NTN1/DSCAML1,31,top90SNPrm,BP,top99q
GO:0097485,neuron projection guidance,31/1213,167/13120,0.18562874251497,2.00778986133257,4.18333483864916,0.000126739378273169,0.0438602741744012,0.0438602741744012,EPHB2/TENM3/ROBO1/NRXN3/ROBO2/CNTN6/CELSR3/SEMA6A/PRKCQ/EPHA6/SEMA5B/CNTN4/GAP43/CNTN2/SEMA3E/KALRN/HMCN2/TENM4/UNC5B/EFNA5/EPHB3/EPHB1/SLIT3/TENM2/NFASC/SEMA5A/SLIT2/PALLD/SEMA6D/NTN1/DSCAML1,31,top90SNPrm,BP,top99q
GO:0022836,gated channel activity,51/1254,267/13543,0.191011235955056,2.06289088400265,5.60328344423188,4.20834531628616e-07,0.000230406906066667,0.000230406906066667,P2RX7/KCNK13/KCNG2/KCNA1/SLC17A3/CACNB2/TRPC3/NALF1/GABRB3/CACNA1H/KCNJ6/TMC1/ITPR1/KCNN3/GRID2/SLC1A7/KCNA2/PIEZO2/PIEZO1/GABRA1/ANO2/ANO7/ASIC2/SCN10A/KCNK3/GRIK3/RYR3/CLCN4/KCNN2/CLCN1/RYR2/CHRNA1/PKD1L3/GABRA5/ANO5/CLCN5/SCNN1A/NALF2/SLC17A7/HCN1/RYR1/CACNA2D3/CACNG5/GABRG1/KCNMB2/CATSPER3/ANO1/GRIN2A/TMEM63A/KCNJ5/ABCC8,51,top90SNPrm,MF,top99q
GO:0015276,ligand-gated monoatomic ion channel activity,31/1254,156/13543,0.198717948717949,2.1461221527011,4.59921249136877,3.42884020360383e-05,0.00750916004589238,0.00750916004589238,P2RX7/TRPC3/GABRB3/KCNJ6/ITPR1/KCNN3/GRID2/SLC1A7/GABRA1/ANO2/ANO7/ASIC2/GRIK3/RYR3/KCNN2/RYR2/CHRNA1/PKD1L3/GABRA5/ANO5/SCNN1A/SLC17A7/HCN1/RYR1/GABRG1/KCNMB2/ANO1/GRIN2A/TMEM63A/KCNJ5/ABCC8,31,top90SNPrm,MF,top99q
GO:0022834,ligand-gated channel activity,31/1254,158/13543,0.19620253164557,2.11895604950235,4.51922833980487,4.4317429042049e-05,0.00808793080017394,0.00808793080017394,P2RX7/TRPC3/GABRB3/KCNJ6/ITPR1/KCNN3/GRID2/SLC1A7/GABRA1/ANO2/ANO7/ASIC2/GRIK3/RYR3/KCNN2/RYR2/CHRNA1/PKD1L3/GABRA5/ANO5/SCNN1A/SLC17A7/HCN1/RYR1/GABRG1/KCNMB2/ANO1/GRIN2A/TMEM63A/KCNJ5/ABCC8,31,top90SNPrm,MF,top99q
GO:0005254,chloride channel activity,17/1254,71/13543,0.23943661971831,2.5858773052991,4.27971276721965,0.000200491132301347,0.018294815822498,0.018294815822498,ANO3/CLIC2/GABRB3/CLIC5/SLC1A7/GABRA1/ANO2/ANO7/CLCN4/FXYD3/CLCN1/GABRA5/ANO5/CLCN5/SLC17A7/GABRG1/ANO1,17,top90SNPrm,MF,top99q
