cpg_site,category,chr,pos,gene,gene_start,gene_end,in_gene_body,is_endo_hit
chr15_100914337,ambiguous,chr15,100914337,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914355,ambiguous,chr15,100914355,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914372,ambiguous,chr15,100914372,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914608,ambiguous,chr15,100914608,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914710,ambiguous,chr15,100914710,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914719,ambiguous,chr15,100914719,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914758,ambiguous,chr15,100914758,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914782,ambiguous,chr15,100914782,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914803,ambiguous,chr15,100914803,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914807,ambiguous,chr15,100914807,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914810,ambiguous,chr15,100914810,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914865,ambiguous,chr15,100914865,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100914979,ambiguous,chr15,100914979,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915063,ambiguous,chr15,100915063,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915119,ambiguous,chr15,100915119,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915187,ambiguous,chr15,100915187,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915235,ambiguous,chr15,100915235,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915358,constitutive,chr15,100915358,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915368,constitutive,chr15,100915368,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915404,ambiguous,chr15,100915404,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915413,constitutive,chr15,100915413,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915479,constitutive,chr15,100915479,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915487,ambiguous,chr15,100915487,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915568,constitutive,chr15,100915568,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915634,ME,chr15,100915634,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915649,constitutive,chr15,100915649,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915662,constitutive,chr15,100915662,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915739,constitutive,chr15,100915739,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100915852,constitutive,chr15,100915852,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916009,constitutive,chr15,100916009,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916012,constitutive,chr15,100916012,LRRK1,100919327,101078257,FALSE,FALSE
