CpG alpha ishvCpG
cg18786623 0.999999971402726 hvCpGs
cg00660989 0.847248383524673 hvCpGs
cg02753903 0.932808606137107 hvCpGs
cg24377285 0.952420794822212 hvCpGs
cg08085597 0.723449958251046 hvCpGs
cg09234582 0.957017708077916 hvCpGs
cg25866895 0.957044534862286 hvCpGs
cg04007531 0.874407841559649 hvCpGs
cg15951466 0.999999971402726 hvCpGs
cg16958594 0.872278572954302 hvCpGs
cg18327128 0.934210919377727 hvCpGs
cg26343358 0.919354494722312 hvCpGs
cg00259046 0.999999971402726 hvCpGs
cg02574073 0.93386440169864 hvCpGs
cg05888755 0.760018036058105 hvCpGs
cg06952873 0.978625180106461 hvCpGs
cg09580214 0.778568803457222 hvCpGs
cg10146935 0.834179403330919 hvCpGs
cg17477090 0.999999971402726 hvCpGs
cg18684142 0.85293351844298 hvCpGs
cg27342919 0.984608231510065 hvCpGs
cg02989255 0.985427806834733 hvCpGs
cg04679849 0.794869223626301 hvCpGs
cg05685892 0.837604574319202 hvCpGs
cg10568066 0.999999971402726 hvCpGs
cg10923662 0.889593497988267 hvCpGs
cg11935738 0.970055272023024 hvCpGs
cg12076350 0.999999971402726 hvCpGs
cg13044052 0.999999971402726 hvCpGs
cg13516209 0.786003858840256 hvCpGs
cg13736514 0.902310644570214 hvCpGs
cg15982117 0.999999971402726 hvCpGs
cg17239008 0.700810405098964 hvCpGs
cg17250082 0.879397291452109 hvCpGs
cg19199204 0.999999971402726 hvCpGs
cg20198242 0.999999971402726 hvCpGs
cg24867279 0.999999971402726 hvCpGs
cg26668675 0.999999971402726 hvCpGs
cg27006947 0.974741760697838 hvCpGs
cg27387193 0.962871708430931 hvCpGs
cg25786696 0.899299132155333 hvCpGs
cg00646200 0.968108470344314 hvCpGs
cg01516881 0.999999971402726 hvCpGs
cg04657470 0.999999971402726 hvCpGs
cg10154826 0.999999971402726 hvCpGs
cg15383120 0.999999971402726 hvCpGs
cg21548813 0.999999971402726 hvCpGs
cg26668828 0.999999971402726 hvCpGs
cg00233420 0.770668332355624 hvCpGs
cg00632811 0.823190505222341 hvCpGs
cg01797371 0.95453912630848 hvCpGs
cg02004499 0.94628874413596 hvCpGs
cg02848996 0.999999971402726 hvCpGs
cg03078486 0.999999971402726 hvCpGs
cg03220455 0.999999971402726 hvCpGs
cg03748376 0.819114226572596 hvCpGs
cg03808007 0.707112692030753 hvCpGs
cg05496603 0.91716317935389 hvCpGs
cg06705862 0.767724360255952 hvCpGs
cg06791446 0.91958395188525 hvCpGs
cg07018435 0.815774445286419 hvCpGs
cg07775309 0.999999971402726 hvCpGs
cg09340198 0.92144155296363 hvCpGs
cg09517766 0.861838835379659 hvCpGs
cg09744452 0.999999971402726 hvCpGs
cg10327440 0.999999971402726 hvCpGs
cg10482057 0.999999971402726 hvCpGs
cg10556349 0.999999971402726 hvCpGs
cg10578777 0.792787746081982 hvCpGs
cg10973622 0.999999971402726 hvCpGs
cg11850943 0.93986472222354 hvCpGs
cg12756686 0.996021604720054 hvCpGs
cg13944838 0.999999971402726 hvCpGs
cg14844989 0.897531221809331 hvCpGs
cg16399632 0.898531119079247 hvCpGs
cg16582118 0.919650603600473 hvCpGs
cg17727071 0.936064334313469 hvCpGs
cg17886420 0.979798434967885 hvCpGs
cg18090145 0.783879506882447 hvCpGs
cg18126320 0.869194597642705 hvCpGs
cg18896979 0.999999971402726 hvCpGs
cg19083407 0.973940166044628 hvCpGs
cg19978674 0.999999971402726 hvCpGs
cg21297282 0.782164188293107 hvCpGs
cg22719004 0.823868919194741 hvCpGs
cg23013853 0.883491495722866 hvCpGs
cg23247955 0.937328219787343 hvCpGs
cg23942311 0.999999971402726 hvCpGs
cg24441899 0.955432250276171 hvCpGs
cg24470734 0.895066061631725 hvCpGs
cg24524379 0.999999971402726 hvCpGs
cg24808901 0.999999971402726 hvCpGs
cg26999154 0.999999971402726 hvCpGs
cg00219626 0.999999971402726 hvCpGs
cg00525277 0.999999971402726 hvCpGs
cg00872984 0.9381697695372 hvCpGs
cg01337207 0.946359429866043 hvCpGs
cg01516851 0.978699444056251 hvCpGs
cg01992382 0.921706076393809 hvCpGs
cg02734259 0.878854154364548 hvCpGs
cg02846841 0.999999971402726 hvCpGs
cg03689146 0.927463348812966 hvCpGs
cg05163071 0.970481088133799 hvCpGs
cg06833823 0.92370398877117 hvCpGs
cg07524919 0.999999971402726 hvCpGs
cg08355456 0.999999971402726 hvCpGs
cg08679971 0.999999971402726 hvCpGs
cg09482050 0.87302899284479 hvCpGs
cg09753657 0.999999971402726 hvCpGs
cg10208301 0.999999971402726 hvCpGs
cg10365886 0.999999971402726 hvCpGs
cg10978585 0.87696248146517 hvCpGs
cg13047157 0.937249170173494 hvCpGs
cg13344095 0.999999971402726 hvCpGs
cg14218481 0.999999971402726 hvCpGs
cg14345882 0.999999971402726 hvCpGs
cg15690347 0.892702116162679 hvCpGs
cg16834823 0.872306415996736 hvCpGs
cg17481235 0.999999971402726 hvCpGs
cg18594701 0.999999971402726 hvCpGs
cg18976044 0.993369954799013 hvCpGs
cg19267551 0.999999971402726 hvCpGs
cg21482472 0.839168644381907 hvCpGs
cg21540359 0.954858207610409 hvCpGs
cg22332722 0.798637099966919 hvCpGs
cg22937354 0.999999971402726 hvCpGs
cg23188684 0.962126779207569 hvCpGs
cg24126967 0.935358048501139 hvCpGs
cg24202936 0.999999971402726 hvCpGs
cg24637308 0.958765635887921 hvCpGs
cg25886479 0.858006618978168 hvCpGs
cg26266427 0.999999971402726 hvCpGs
cg26695758 0.999999971402726 hvCpGs
cg27119456 0.999999971402726 hvCpGs
cg00113675 0.837664925754251 hvCpGs
cg00631329 0.999999971402726 hvCpGs
cg01788773 0.930780197816047 hvCpGs
cg02304584 0.937367855870606 hvCpGs
cg02351381 0.987279896639815 hvCpGs
cg02611934 0.959354070750001 hvCpGs
cg03128011 0.91428116711104 hvCpGs
cg03229061 0.988511145029918 hvCpGs
cg03264133 0.999999971402726 hvCpGs
cg05202300 0.999999971402726 hvCpGs
cg05337761 0.946234529955083 hvCpGs
cg05857999 0.999999971402726 hvCpGs
cg06728252 0.92833572921547 hvCpGs
cg07134666 0.800961360007196 hvCpGs
cg07455790 0.984042227787825 hvCpGs
cg07984380 0.85783041411112 hvCpGs
cg08065408 0.866838668767261 hvCpGs
cg08087969 0.820502811949684 hvCpGs
cg08265274 0.993127837697881 hvCpGs
cg08578320 0.983831889982891 hvCpGs
cg08725892 0.821789622634353 hvCpGs
cg09140531 0.82700959410887 hvCpGs
cg09592244 0.999999971402726 hvCpGs
cg10821226 0.992332500006719 hvCpGs
cg10850215 0.999999971402726 hvCpGs
cg11747594 0.999999971402726 hvCpGs
cg12199221 0.869897980347529 hvCpGs
cg12296550 0.999999971402726 hvCpGs
cg13357922 0.861379797408379 hvCpGs
cg13713218 0.999999971402726 hvCpGs
cg14255617 0.779673731053896 hvCpGs
cg15580309 0.908159715151509 hvCpGs
cg15612221 0.923131053698679 hvCpGs
cg15708526 0.81233315721585 hvCpGs
cg15718932 0.868506216179124 hvCpGs
cg15969227 0.999999971402726 hvCpGs
cg16058990 0.831183060542643 hvCpGs
cg18396357 0.984539367533467 hvCpGs
cg18700013 0.859790872597204 hvCpGs
cg19383211 0.999999971402726 hvCpGs
cg20088245 0.999999971402726 hvCpGs
cg20227056 0.738059652072492 hvCpGs
cg20826740 0.892290657990831 hvCpGs
cg21809927 0.968970801419957 hvCpGs
cg22757362 0.999999971402726 hvCpGs
cg23226914 0.973643288243781 hvCpGs
cg25045942 0.999999971402726 hvCpGs
cg25107000 0.829645729997636 hvCpGs
cg25511667 0.907441004185564 hvCpGs
cg25802888 0.69247721377031 hvCpGs
cg26094651 0.99930594304898 hvCpGs
cg26610739 0.949993194642805 hvCpGs
cg26818629 0.862974184096492 hvCpGs
cg27664085 0.903574882895871 hvCpGs
cg02054724 0.881781374367871 hvCpGs
cg02276826 0.931819572092061 hvCpGs
cg03122674 0.86530061241992 hvCpGs
