chr	pos
chr1	2774018
chr1	4495235
chr1	5481799
chr1	9502388
chr1	14183808
chr1	17369891
chr1	18291332
chr1	29685004
chr1	30883602
chr1	31062709
chr1	34245458
chr1	34687519
chr1	53792143
chr1	54124666
chr1	61606847
chr1	68980600
chr1	90492036
chr1	99836625
chr1	109935704
chr1	116713456
chr1	147139590
chr1	154799732
chr1	154801445
chr1	177444557
chr1	179489784
chr1	187990103
chr1	188791166
chr1	195380513
chr1	196852579
chr1	207423630
chr1	213020812
chr1	213328461
chr1	214009666
chr1	216226831
chr1	230649370
chr1	244231694
chr10	4947799
chr10	13283278
chr10	19410584
chr10	20769137
chr10	20776977
chr10	43127027
chr10	51918761
chr10	57560894
chr10	57783150
chr10	81289161
chr10	97974397
chr10	110814377
chr10	114767135
chr10	118551735
chr10	118786431
chr10	120281320
chr10	121460885
chr10	122178395
chr10	122450586
chr10	123515922
chr11	705070
chr11	3555885
chr11	6099970
chr11	10692929
chr11	21354892
chr11	26849255
chr11	70473528
chr11	70683330
chr11	70864045
chr11	76243811
chr11	86453801
chr11	99710084
chr11	100135396
chr11	102638422
chr11	102838224
chr11	109288886
chr11	129550685
chr12	32994022
chr12	59085862
chr12	77578899
chr12	87535548
chr12	93592986
chr12	99030316
chr12	100524417
chr12	100791771
chr12	107309538
chr12	109773563
chr12	117457327
chr12	128445634
chr13	23945649
chr13	25456550
chr13	25456760
chr13	25456795
chr13	53099617
chr13	70427049
chr13	77586595
chr13	86196293
chr13	108871408
chr13	109317928
chr13	110227465
chr14	24501898
chr14	25195672
chr14	56679024
chr14	62280202
chr14	62833631
chr14	65865181
chr14	69342906
chr14	98337929
chr14	101480894
chr15	28038360
chr15	35813336
chr15	55789925
chr15	73358482
chr15	83210865
chr15	83903842
chr15	93674133
chr16	7088039
chr16	11020821
chr16	51044013
chr16	51943545
chr16	55725968
chr16	56126728
chr16	59757346
chr16	68684738
chr16	71221222
chr16	86298775
chr17	9163632
chr17	19734237
chr17	29397740
chr17	34615774
chr17	34840753
chr17	59156862
chr17	63505545
chr17	74920334
chr17	76079534
chr17	76500707
chr18	112528
chr18	4843115
chr18	40617764
chr18	46631530
chr18	71732011
chr18	73915172
chr18	76132824
chr19	453808
chr19	5547002
chr19	8340176
chr19	15797298
chr19	50230486
chr19	50230632
chr19	51663790
chr19	53012012
chr19	54435160
chr2	111984
chr2	1848337
chr2	18194005
chr2	25705115
chr2	30884373
chr2	43620506
chr2	57607842
chr2	66854397
chr2	67037831
chr2	67691282
chr2	69305052
chr2	107345591
chr2	107345621
chr2	108902486
chr2	114809876
chr2	132151248
chr2	137511505
chr2	142343792
chr2	143170215
chr2	178190946
chr2	194423840
chr2	209374338
chr2	213560849
chr2	218271388
chr2	223838321
chr2	236344794
chr2	238160641
chr2	239012092
chr2	241011860
chr20	1997008
chr20	2877384
chr20	3730402
chr20	5310210
chr20	9911671
chr20	14524908
chr20	15077874
chr20	22537780
chr20	37344695
chr20	42737523
chr20	44786349
chr20	49595429
chr20	55044754
chr20	59549900
chr21	17204447
chr21	24891874
chr21	42140609
chr22	17032950
chr22	34004142
chr22	49038136
chr3	9612747
chr3	14080194
chr3	19068389
chr3	25855837
chr3	33980162
chr3	38618528
chr3	40317513
chr3	53493716
chr3	53818054
chr3	54235472
chr3	82909604
chr3	85177252
chr3	119083354
chr3	143480485
chr3	189116412
chr4	4409951
chr4	11840808
chr4	13188532
chr4	18150172
chr4	24329089
chr4	34193701
chr4	39515037
chr4	66778654
chr4	73379435
chr4	96196903
chr4	98573996
chr4	109728734
chr4	123505007
chr4	132129379
chr4	149944016
chr4	174993887
chr4	176272661
chr5	1857714
chr5	6559194
chr5	9627871
chr5	30313066
chr5	36748756
chr5	55178010
chr5	71894235
chr5	85498781
chr5	89009995
chr5	99442722
chr5	99511246
chr5	104454937
chr5	105401235
chr5	118486884
chr5	124641274
chr5	132746402
chr5	155991379
chr6	1088728
chr6	1206693
chr6	2857363
chr6	3160303
chr6	8203562
chr6	12532474
chr6	19738588
chr6	21111544
chr6	23510405
chr6	40489885
chr6	53310348
chr6	54607683
chr6	56231217
chr6	56231345
chr6	66292702
chr6	71013852
chr6	78167797
chr6	90811753
chr6	92836236
chr6	94170232
chr6	94548357
chr6	105873968
chr6	117826881
chr6	131813844
chr6	133203505
chr6	145247009
chr6	165407927
chr6	165998828
chr6	166672955
chr7	6838676
chr7	7641944
chr7	16822224
chr7	31381475
chr7	31471271
chr7	41017163
chr7	48903961
chr7	54553978
chr7	88407660
chr7	88730961
chr7	90040709
chr7	91558987
chr7	98168693
chr7	103666971
chr7	123020970
chr7	123939961
chr7	126233395
chr7	139567936
chr7	140515592
chr7	156560650
chr7	157576764
chr7	158177148
chr8	5136406
chr8	13599126
chr8	15376278
chr8	26222434
chr8	26592696
chr8	27084493
chr8	32266862
chr8	43376325
chr8	43393485
chr8	50372060
chr8	57564400
chr8	71132426
chr8	74444330
chr8	88503879
chr8	107022388
chr8	114999108
chr8	120287625
chr8	141586962
chr8	142138527
chr8	142198573
chr9	19909807
chr9	21433975
chr9	23823618
chr9	25678888
chr9	27192602
chr9	31883209
chr9	31947934
chr9	31998661
chr9	32009055
chr9	71994802
chr9	86696840
chr9	102262484
chr9	109655814
chr9	110878349
chrX	4315390
chrX	6126242
chrX	6351262
chrX	6517665
