ME_CpG_names SoC_CpG_names ESS_SIV_CpG_names
cg23917638 cg15260978 cg23733394
cg07697459 cg26342907 cg18224942
cg26357403 cg04260676 cg16590012
cg08615111 cg10696969 cg18148498
cg26220594 cg07797660 cg27541892
cg19637330 cg11798758 cg17450090
cg20674490 cg22361543 cg23231093
cg05162523 cg25940513 cg20300514
cg25304816 cg04163216 cg26227225
cg00070162 cg21141856 cg05337761
cg00162191 cg13426876 cg08200543
cg20256120 cg21913775 cg01894875
cg19082970 cg02107304 cg07700843
cg22169042 cg06155303 cg14508832
cg08105529 cg09264065 cg21609526
cg12080791 cg00107241 cg10331884
cg01830177 cg09369954 cg12551983
cg10386298 cg17327404 cg24556754
cg11336382 cg03167369 cg26840333
cg20433858 cg22799499 cg14654471
cg26507521 cg22875872 cg14089881
cg00797058 cg10881128 cg20409752
cg00964333 cg19692314 cg02289343
cg16807687 cg07173823 cg17243628
cg16928034 cg21268223 cg08886482
cg00169964 cg16116949 cg10315903
cg12353636 cg20822884 cg24371425
cg17426192 cg03814321 cg08243619
cg02276826 cg11957884 cg10116490
cg11007110 cg22485350 cg04145937
cg13904877 cg22803724 cg05660106
cg25330361 cg27353619 cg15135166
cg18901045 cg16618003 cg12387865
cg05955251 cg00292636 cg25602718
cg17706456 cg19766489 cg06794355
cg14770102 cg06444730 cg27525446
cg04824767 cg13388692 cg17984400
cg13371577 cg24439713 cg12648811
cg15361450 cg26831811 cg08277548
cg12857638 cg24115061 cg25979543
cg00685014 cg06176691 cg18795169
cg11177264 cg17034109 cg13786083
cg24213572 cg05708536 cg19637330
cg02474542 cg25707805 cg14856563
cg13474244 cg03899315 cg12798157
cg25026767 cg00397989 cg17974166
cg20407713 cg19086093 cg12483005
cg13906860 cg15467116 cg19743168
cg17181255 cg01637734 cg21268256
cg24333145 cg24642483 cg21826606
cg06026769 cg10888244 cg16220844
cg04923020 cg21451906 cg24991732
cg26328335 cg16136262 cg17603057
cg04462774 cg11344217 cg15622158
cg26573334 cg22942576 cg22367705
cg25097398 cg06621080 cg14378564
cg24598712 cg04896437 cg04993605
cg17312277 cg05785988 cg25303761
cg10926857 cg25213452 cg07110043
cg19937979 cg07139026 cg23058319
cg13713667 cg14468913 cg06917450
cg04145134 cg08111158 cg14667685
cg14270590 cg14789818 cg08166631
cg26589785 cg00907549 cg19471466
cg25923692 cg00611192 cg17016894
cg10715161 cg27430369 cg24634568
cg27142411 cg09618102 cg18918426
cg05558259 cg15309953 cg25880954
cg02723964 cg11241151 cg00829645
cg04834608 cg03257743 cg20245116
cg03972466 cg26462586 cg06748470
cg03231735 cg20347268 cg25307371
cg00604771 cg18587476 cg23744433
cg04130484 cg27063607 cg11235152
cg04690045 ch.2.729349R cg13205059
cg01806526 cg02162897 cg00121533
cg02459090 cg27300813 cg02297043
cg03579904 cg10067510 cg01066472
cg27338807 cg26162813 cg00325531
cg06908618 cg08486180 cg22875332
cg26536949 cg10859133 cg03433033
cg05528899 cg04873961 cg27046936
cg04478251 cg24516106 cg17737388
cg21473235 cg09467436 cg21245975
cg04660688 cg25705148 cg22507154
cg04387835 cg01361021 cg26518628
cg14057352 cg10146462 cg14515779
cg13984289 cg24749656 cg25593510
cg23661344 cg14115218 cg25210835
cg21732844 cg06179606 cg12858902
cg11247087 cg25800500 cg23719124
cg10360323 cg01217204 cg00698771
cg08110785 cg19651219 cg19319928
cg16081388 cg21470541 cg01778345
cg23911097 cg11513884 cg26835374
cg08731068 cg04752871 cg16528597
cg09925620 cg21790715 cg25600478
cg21435684 cg05403241 cg00701051
cg05471169 cg10950615 cg24874173
cg06012795 cg15781838 cg02487331
cg04711324 cg15123104 cg02451774
cg06614044 cg09015973 cg25200586
cg20505444 cg00401745 cg00646200
cg00539368 cg00028678 cg14222229
cg15490703 cg13602816 cg19635571
cg20587168 cg07755203 cg16661522
cg08868647 cg07027706 cg22692549
cg06417478 cg15602054 cg17598466
cg04546413 cg17598339 cg13911828
cg26585454 cg04362989 cg04876245
cg19605788 cg22067795 cg19736968
cg21631754 cg07729527 cg27587661
cg17431280 cg03913859 cg02153358
cg14234302 cg14652549 cg15686402
cg11261264 cg20299002 cg23034922
cg26610167 cg00297702 cg06921319
cg13475732 cg21445204 cg25618439
cg03298305 cg13772414 cg23106045
cg00130086 cg13742400 cg09139923
cg13719843 cg05868531 cg21937395
cg04051927 cg15371801 cg01419577
cg10553204 cg11559198 cg19361456
cg12697337 cg22403782 cg20962500
cg22068400 cg12307638 cg22700790
cg14227325 cg26181818 cg18388270
cg21482265 cg09042791 cg07379028
cg21550016 cg23575858 cg08860596
cg11763394 cg23650279 cg04414720
cg23122642 cg03847190 cg15448220
cg07772999 cg00898920 cg15025200
cg19083407 cg10901633 cg23107878
cg27009691 cg25789721 cg26320663
cg19633822 cg16468843 cg02754945
cg21811143 cg19764594 cg13498757
cg20627174 cg27230009 cg21280320
cg10895452 cg18662365 cg03957898
cg01165776 cg05726118 cg20991723
cg23415434 cg26135722 cg07796016
cg06019884 cg00057231 cg03449150
cg02366959 cg26468693 cg08477332
cg25433157 cg18343556 cg11343894
cg01101448 cg06203251 cg02331910
cg22399133 cg15253604 cg00006626
cg11097064 cg08875947 cg14859874
cg20434511 cg01172682 cg25208724
cg22136753 cg14533390 cg24450063
cg25554935 cg16931822 cg19263494
cg18291941 cg24148085 cg07950803
cg03152500 cg17057719 cg11578532
cg25292358 cg11343938 cg25597117
cg11324748 cg00186462 cg26017915
cg18681837 cg06204062 cg10967587
cg00566515 cg06689045 cg07175007
cg27306467 cg13641317 cg00859178
cg10044179 cg21448444 cg24693760
cg06343169 cg03396594 cg10331038
cg00881351 cg03290530 cg19504955
cg13126279 cg18802720 cg00579423
cg25545878 cg18107000 cg03058232
cg05896524 cg12987312 cg14027288
cg08742575 cg19513207 cg02710296
cg10296238 cg26182497 cg08787039
cg05672835 cg25620760 cg23961843
cg13012494 cg06507285 cg08658634
cg12016809 cg15367212 cg11066601
cg13704590 cg22356117 cg00114966
cg13732083 cg07120369 cg23371584
cg07747299 cg09610644 cg17178900
cg08447200 cg08283595 cg14893161
cg03957481 cg18063486 cg11965913
cg05467676 cg25034424 cg07167872
cg02447542 cg09366730 cg24503407
cg15145296 cg15600051 cg07157834
cg18479299 cg10426117 cg10021878
cg14325153 cg09199014 cg21106486
cg24530147 cg19531230 cg10512769
cg00641437 cg03877332 cg09077675
cg26434197 cg11266540 cg12132508
cg06508738 cg14611666 cg16532282
cg17894318 cg10946669 cg10327440
cg25109019 cg10766585 cg13092405
cg23819411 cg05796128 cg10962762
cg02635726 cg12769566 cg11953245
cg15201545 cg22775860 cg11801727
cg03744197 cg25316310 cg22700015
cg14964336 cg13743387 cg01525538
cg01610979 cg26986681 cg16732787
cg18670801 cg17932096 cg26362491
cg24960960 cg04742556 cg23677911
cg21167402 cg08928646 cg03217880
cg27378537 cg17445155 cg20784768
cg06721546 cg07775417 cg04143909
cg21931717 cg20776829 cg01567173
cg17597639 cg19827089 cg12804283
cg08422420 cg10868445 cg25623271
cg18269595 cg14987002 cg22879626
cg24114444 cg19183248 cg00081729
cg06478886 cg05911003 cg09361966
cg11608150 cg06802630 cg12691488
cg04481923 cg12961784 cg24502334
cg11978884 cg22425359 cg02356786
cg16389705 cg04188937 cg07953201
cg15591490 cg11496113 cg24478129
cg04466840 cg22644194 cg04798314
cg25461508 cg23516451 cg00028022
cg07086918 cg26814089 cg18198730
cg11394785 cg13999099 cg11166453
cg14886255 cg26688155 cg17545182
cg04492927 cg01839565 cg12754571
cg12301216 cg15988937 cg12758973
cg00372928 cg27295642 cg02518135
cg23525438 cg26601559 cg09506600
cg14353184 cg03400060 cg08861456
cg02931604 cg01902605 cg08260406
cg22378065 cg15150652 cg03748376
cg12757684 cg21902014 cg00785941
cg00702231 cg16537383 cg20507276
cg23877033 cg12450016 cg08944170
cg15166039 cg09871247 cg22673542
cg26873880 cg07368146 cg04836492
cg27643890 cg06647332 cg19367176
cg17228698 cg05972502 cg08121453
cg16247391 cg06660015 cg26448016
cg20023621 cg00030420 cg26499095
cg07673020 cg08414643 cg05528280
cg04048472 cg08988323 cg01169559
cg24255859 cg10669219 cg26597838
cg04786207 cg11518839 cg08457232
cg12347392 cg08319922 cg14464133
cg26708559 cg00471059 cg12799314
cg23583168 cg15068079 cg22172057
cg09652312 cg12717963 cg01239367
cg03128011 cg17619020 cg17246535
cg20088245 cg01401534 cg18171855
cg05828893 cg10424681 cg05625103
cg03635442 cg00194146 cg15501526
cg16792875 cg15796980 cg01477942
cg25148117 cg02073492 cg03961510
cg01585069 cg10944833 cg15087907
cg18331249 cg02061170 cg26490758
