CpG alpha ishvCpG
cg19459093 0.999999971402726 controls
cg00682125 0.852140485847217 controls
cg02841651 0.970146245105856 controls
cg25155149 0.780563378500439 controls
cg08327428 0.942198004278101 controls
cg09532691 0.952153771336356 controls
cg26674225 0.805940255208416 controls
cg04132917 0.911429260358822 controls
cg16460342 0.923590106361951 controls
cg17520919 0.917915893983262 controls
cg18955060 0.926966373849229 controls
cg27139943 0.986795428739954 controls
cg00266715 0.909153220609993 controls
cg02644729 0.90953626874139 controls
cg06077046 0.870860662972241 controls
cg07154921 0.952789442737436 controls
cg09900317 0.999999971402726 controls
cg10481100 0.720027883139438 controls
cg18099488 0.999673191870851 controls
cg19354368 0.891945808797068 controls
NA 0.926341478212257 controls
cg03079208 0.956397845614373 controls
cg04836221 0.99583432061572 controls
cg05880945 0.931021386308913 controls
cg10926487 0.997411256071682 controls
cg11290775 0.855764211194202 controls
cg12335476 0.999999971402726 controls
cg12491688 0.999999971402726 controls
cg13463367 0.942212767758282 controls
cg13871843 0.765355749239632 controls
cg14098951 0.956250049667517 controls
cg16490823 0.999999971402726 controls
cg17846467 0.999999971402726 controls
cg17855390 0.999999971402726 controls
cg19833103 0.998507711388416 controls
cg20933515 0.98930896474108 controls
cg25705900 0.914534251832269 controls
cg27485189 0.93839142751759 controls
NA 0.98805039689078 controls
NA 0.938241646759311 controls
cg26607641 0.897128190893849 controls
cg00666422 0.739805942656151 controls
cg01561839 0.904591079008395 controls
cg04811942 0.795189388411128 controls
cg10489428 0.999999971402726 controls
cg15902390 0.999999971402726 controls
cg22336401 0.999999971402726 controls
cg27485235 0.999999971402726 controls
cg00239835 0.860367889755227 controls
cg00653744 0.800708989816336 controls
cg01844642 0.978850364724972 controls
cg02061967 0.999999971402726 controls
cg02927058 0.981716100697412 controls
cg03178838 0.890608921383331 controls
cg03323953 0.874370200418071 controls
cg03873108 0.999999971402726 controls
cg03936251 0.752270313095465 controls
cg05681670 0.999999971402726 controls
cg06896857 0.673846938322264 controls
cg06988003 0.869086505057463 controls
cg07217851 0.973949844797689 controls
cg08025960 0.962790688617933 controls
cg09652533 0.953897632881219 controls
cg09841884 0.886657980351616 controls
cg10068917 0.970642885423561 controls
cg10663370 0.999999971402726 controls
cg10821925 0.999999971402726 controls
cg10916021 0.999999971402726 controls
cg10938233 0.999999971402726 controls
cg11342415 0.999999971402726 controls
cg12235539 0.97747529481588 controls
cg13221107 0.999999971402726 controls
cg14306451 0.999999971402726 controls
cg15365588 0.811570734458651 controls
cg16913254 0.901433104646353 controls
cg17139861 0.999999971402726 controls
cg18309776 0.849683704911462 controls
cg18471725 0.918070970112775 controls
cg18691434 0.757217490976035 controls
cg18737789 0.858639303899721 controls
cg19580792 0.999999971402726 controls
cg19738812 0.887278104206534 controls
cg20701531 0.999999971402726 controls
cg22080027 0.967434464729765 controls
cg23448165 0.752208707154572 controls
cg23749448 0.895345163603053 controls
cg24009250 0.875143499507185 controls
cg24708831 0.999999971402726 controls
cg25229015 0.999999971402726 controls
cg25263454 0.991265208440979 controls
cg25326319 0.947988532224512 controls
cg25634457 0.978362873988287 controls
NA 0.952326310859798 controls
cg00225157 0.883558057713018 controls
cg00540866 0.97928898889241 controls
cg00901598 0.978291520557925 hvCpGs
cg01379344 0.999999971402726 controls
cg01561719 0.891917686302622 controls
cg02052758 0.910824154622042 controls
cg02819921 0.932595162963061 controls
cg02925248 0.925125399874733 controls
cg03803008 0.954678790769225 controls
cg05329982 0.904237739971855 controls
cg07034315 0.999999971402726 controls
cg07762402 0.968512829940234 controls
cg08633242 0.969117810464711 controls
cg08962709 0.976467459996477 controls
cg09804944 0.801288602031308 controls
cg10075378 0.978981796868992 controls
cg10539507 0.999999971402726 controls
cg10706069 0.999999971402726 controls
cg11345909 0.95154981596623 controls
cg13464990 0.999999971402726 controls
cg13688098 0.788862980254199 controls
cg14597148 0.953446379966551 controls
cg14750263 0.835434750550971 controls
cg16221289 0.858061648812288 controls
cg17415371 0.934735490459256 controls
cg18104070 0.998383112881887 controls
cg19263124 0.94035332014068 controls
cg19645410 0.995653634067073 controls
cg19899312 0.999999971402726 controls
cg22249789 0.942620026073226 controls
cg22326681 0.928102928972446 controls
cg23085662 0.949933888002415 controls
cg23670208 0.999999971402726 controls
cg23946462 0.942006528740682 controls
cg24909445 0.77139115804956 controls
cg24997174 0.95332235828459 controls
cg25440353 0.999999971402726 controls
cg26684673 0.969306097338939 controls
cg27055083 0.970700840680321 controls
cg27518631 0.959003136413712 controls
NA 0.999999971402726 controls
cg00116946 0.999999971402726 controls
cg00652332 0.999999971402726 controls
cg01834566 0.991075671314347 controls
cg02369188 0.939460540367709 controls
cg02422627 0.957977265580108 controls
cg02690316 0.787893931226474 controls
cg03225817 0.999999971402726 controls
cg03333188 0.946789235814966 controls
cg03364498 0.999999971402726 controls
cg05362424 0.999999971402726 controls
cg05511755 0.835029744310547 controls
cg06038655 0.984881301805783 controls
cg06919800 0.845303666047975 controls
cg07350444 0.986110939748455 controls
cg07690882 0.960483667659818 controls
cg08233173 0.933479675328422 controls
cg08306275 0.999999971402726 controls
cg08330224 0.811458806261998 controls
cg08535779 0.999999971402726 controls
cg08862366 0.903869722241593 controls
cg09015921 0.81575159227768 controls
cg09438742 0.704477228365286 controls
cg09911173 0.990661489799358 controls
cg11196904 0.999999971402726 controls
cg11222622 0.881947619384562 controls
cg12115748 0.999999971402726 controls
cg12622182 0.837344269902188 controls
cg12717591 0.999999971402726 controls
cg13698414 0.743636570900891 controls
cg14076195 0.999999971402726 controls
cg14637631 0.999374416151057 controls
cg16099282 0.974610252586969 controls
cg16135695 0.841498675713502 controls
cg16243079 0.976167780963458 controls
cg16252905 0.571160128784058 controls
cg16476890 0.999999971402726 controls
cg16568727 0.919908554335427 controls
cg19030597 0.9249974530913 controls
cg19367522 0.920791486339794 controls
cg20004451 0.999999971402726 controls
cg20805367 0.999999971402726 controls
cg20956407 0.723916322937729 controls
cg21571162 0.899016292138351 controls
cg22611359 0.97511067176805 controls
cg23484515 0.999918576055471 controls
cg23986470 0.999999971402726 controls
cg25920258 0.933497300225477 controls
cg25973273 0.999999971402726 controls
cg26349266 0.999999971402726 controls
cg26621607 0.859513621662576 hvCpGs
cg26876664 0.961749239634763 controls
cg27420224 0.929880403564642 controls
cg27638453 0.844979014728243 controls
NA 0.770283980126756 controls
cg02109381 0.875161473576597 controls
cg02339122 0.999999971402726 controls
cg03221025 0.986503036910053 controls
cg03349241 0.875728969828837 controls
cg03954999 0.999999971402726 controls
cg04531756 0.857916219983104 controls
cg05507249 0.999999971402726 controls
cg05853285 0.898544650157594 controls
cg05869601 0.902914147444351 controls
cg06033321 0.989122191007559 controls
cg07001734 0.871637609372557 controls
cg07314414 0.754355726285801 controls
cg09063765 0.999999971402726 controls
cg09136878 0.836210712794623 controls
cg09470640 0.904903280487123 controls
cg10769649 0.784836579411145 controls
cg14324927 0.999999971402726 controls
cg14777507 0.999999971402726 controls
cg14799446 0.889106505773662 controls
cg15032941 0.892062698005779 controls
cg15336997 0.811936242721482 controls
cg15402529 0.928901433158721 controls
cg15980914 0.999999971402726 controls
cg16699316 0.932245908760243 controls
cg17942639 0.951432031646521 controls
cg18089047 0.862027813158589 controls
cg19223521 0.950078581856104 controls
cg19377014 0.878545644969108 controls
cg21165595 0.976789782968865 controls
cg21245936 0.929290572170442 controls
cg21947590 0.945771307360161 controls
cg22078179 0.999999971402726 controls
cg22934035 0.816554177587344 controls
cg23075260 0.897547673847482 controls
cg24289524 0.956926613630048 controls
cg25486039 0.999999971402726 controls
cg27051767 0.974775197116983 controls
cg27260891 0.999999971402726 controls
cg01043997 0.827174618071895 controls
cg02873525 0.999999971402726 controls
cg05029638 0.999999971402726 controls
cg05086975 0.889761754174667 controls
cg08965744 0.958430139972588 controls
cg10757951 0.847978711779682 controls
cg11631883 0.947703295783097 controls
cg13220917 0.709912036279681 controls
cg13822123 0.999999971402726 controls
cg16683414 0.836529652419406 controls
cg19629079 0.909319026786977 controls
cg26966124 0.847630570855151 controls
cg27073349 0.925118566397311 controls
NA 0.939647523271766 controls
cg00061695 0.909344324731436 controls
cg00772000 0.999999971402726 controls
cg00937335 0.999999971402726 controls
cg00980904 0.917219246398072 controls
cg01317045 0.95541290777741 controls
cg01532694 0.999999971402726 controls
cg01535619 0.927862223297344 controls
cg01833923 0.855665710758556 controls
cg01860378 0.997432480862737 controls
cg01889883 0.999999971402726 controls
cg01938025 0.789430628930693 controls
cg01947943 0.808698622754225 controls
cg01982533 0.886262185961004 controls
cg02060096 0.80877549984385 controls
cg02190390 0.614554481614742 controls
cg02303399 0.999999971402726 controls
cg02711510 0.999999971402726 controls
cg02755561 0.872847410953729 controls
cg02878544 0.817881438554398 controls
cg02914652 0.852778818274349 controls
cg03222066 0.999999971402726 controls
cg03463076 0.882606478859578 controls
cg03568041 0.817527274418682 controls
cg03615240 0.999999971402726 controls
cg03715931 0.948493703397531 controls
cg03899372 0.999999971402726 controls
cg04166411 0.962416242764764 controls
cg04289575 0.996425303343061 controls
cg04435828 0.79802552573646 controls
cg04773864 0.813386908772371 hvCpGs
cg05356226 0.965612251658623 controls
cg05489904 0.958193600393551 controls
cg06023661 0.999999971402726 controls
cg06272054 0.939484068171214 controls
cg06320570 0.845331858128907 controls
cg06630567 0.916403628593888 controls
cg06932384 0.999999971402726 controls
cg06934988 0.98495351582503 controls
cg07043494 0.999999971402726 controls
cg07710266 0.893091117323104 controls
cg07733098 0.913888500402326 controls
cg07739257 0.899120308154243 controls
cg07780216 0.883728142538655 controls
cg07908755 0.999999971402726 controls
cg08944723 0.795277669657407 controls
cg09271661 0.901402925576488 controls
cg09481121 0.957210867566951 controls
cg09529323 0.999999971402726 controls
cg09671955 0.956160496661675 controls
cg09831081 0.883342158314243 controls
cg09892710 0.900607535470503 controls
cg09982174 0.931520914582475 controls
cg10068989 0.956554637783232 controls
cg10244414 0.869463021144144 controls
cg10413224 0.927708340233896 hvCpGs
cg10443978 0.841443033901598 controls
cg10476584 0.906393774542017 controls
cg10540721 0.999999971402726 controls
cg10976861 0.922111625740166 controls
cg11114465 0.931045646550776 controls
cg11568791 0.999999971402726 controls
cg12278705 0.999999971402726 controls
cg12728061 0.841531791179838 controls
cg12859101 0.999999971402726 controls
cg12907817 0.818317975122031 controls
cg13135031 0.999999971402726 controls
cg13319772 0.912818315565239 controls
cg13398268 0.923753339094605 controls
cg13690679 0.846021164080336 controls
cg13795840 0.988904253429735 controls
cg13904493 0.873950064957632 controls
cg14282004 0.80729868378979 controls
cg14708360 0.930641127246204 controls
cg15037541 0.956457636210197 controls
cg15100630 0.899316870246858 controls
cg15141005 0.888201252429158 controls
cg15537850 0.933165848306422 controls
cg15678825 0.947776258198238 controls
cg15816911 0.907669212840812 controls
