CpG alpha ishvCpG
cg18786623 0.999999971402726 hvCpG
cg00660989 0.847248383524673 hvCpG
cg02753903 0.932808606137107 hvCpG
cg24377285 0.952420794822212 hvCpG
cg08085597 0.723449958251046 hvCpG
cg09234582 0.957017708077916 hvCpG
cg25866895 0.957044534862286 hvCpG
cg04007531 0.874407841559649 hvCpG
cg15951466 0.999999971402726 hvCpG
cg16958594 0.872278572954302 hvCpG
cg18327128 0.934210919377727 hvCpG
cg26343358 0.919354494722312 hvCpG
cg00259046 0.999999971402726 hvCpG
cg02574073 0.93386440169864 hvCpG
cg05888755 0.760018036058105 hvCpG
cg06952873 0.978625180106461 hvCpG
cg09580214 0.778568803457222 hvCpG
cg10146935 0.834179403330919 hvCpG
cg17477090 0.999999971402726 hvCpG
cg18684142 0.85293351844298 hvCpG
cg27342919 0.984608231510065 hvCpG
cg02989255 0.985427806834733 hvCpG
cg04679849 0.794869223626301 hvCpG
cg05685892 0.837604574319202 hvCpG
cg10568066 0.999999971402726 hvCpG
cg10923662 0.889593497988267 hvCpG
cg11935738 0.970055272023024 hvCpG
cg12076350 0.999999971402726 hvCpG
cg13044052 0.999999971402726 hvCpG
cg13516209 0.786003858840256 hvCpG
cg13736514 0.902310644570214 hvCpG
cg15982117 0.999999971402726 hvCpG
cg17239008 0.700810405098964 hvCpG
cg17250082 0.879397291452109 hvCpG
cg19199204 0.999999971402726 hvCpG
cg20198242 0.999999971402726 hvCpG
cg24867279 0.999999971402726 hvCpG
cg26668675 0.999999971402726 hvCpG
cg27006947 0.974741760697838 hvCpG
cg27387193 0.962871708430931 hvCpG
cg25786696 0.899299132155333 hvCpG
cg00646200 0.968108470344314 hvCpG
cg01516881 0.999999971402726 hvCpG
cg04657470 0.999999971402726 hvCpG
cg10154826 0.999999971402726 hvCpG
cg15383120 0.999999971402726 hvCpG
cg21548813 0.999999971402726 hvCpG
cg26668828 0.999999971402726 hvCpG
cg00233420 0.770668332355624 hvCpG
cg00632811 0.823190505222341 hvCpG
cg01797371 0.95453912630848 hvCpG
cg02004499 0.94628874413596 hvCpG
cg02848996 0.999999971402726 hvCpG
cg03078486 0.999999971402726 hvCpG
cg03220455 0.999999971402726 hvCpG
cg03748376 0.819114226572596 hvCpG
cg03808007 0.707112692030753 hvCpG
cg05496603 0.91716317935389 hvCpG
cg06705862 0.767724360255952 hvCpG
cg06791446 0.91958395188525 hvCpG
cg07018435 0.815774445286419 hvCpG
cg07775309 0.999999971402726 hvCpG
cg09340198 0.92144155296363 hvCpG
cg09517766 0.861838835379659 hvCpG
cg09744452 0.999999971402726 hvCpG
cg10327440 0.999999971402726 hvCpG
cg10482057 0.999999971402726 hvCpG
cg10556349 0.999999971402726 hvCpG
cg10578777 0.792787746081982 hvCpG
cg10973622 0.999999971402726 hvCpG
cg11850943 0.93986472222354 hvCpG
cg12756686 0.996021604720054 hvCpG
cg13944838 0.999999971402726 hvCpG
cg14844989 0.897531221809331 hvCpG
cg16399632 0.898531119079247 hvCpG
cg16582118 0.919650603600473 hvCpG
cg17727071 0.936064334313469 hvCpG
cg17886420 0.979798434967885 hvCpG
cg18090145 0.783879506882447 hvCpG
cg18126320 0.869194597642705 hvCpG
cg18896979 0.999999971402726 hvCpG
cg19083407 0.973940166044628 hvCpG
cg19978674 0.999999971402726 hvCpG
cg21297282 0.782164188293107 hvCpG
cg22719004 0.823868919194741 hvCpG
cg23013853 0.883491495722866 hvCpG
cg23247955 0.937328219787343 hvCpG
cg23942311 0.999999971402726 hvCpG
cg24441899 0.955432250276171 hvCpG
cg24470734 0.895066061631725 hvCpG
cg24524379 0.999999971402726 hvCpG
cg24808901 0.999999971402726 hvCpG
cg26999154 0.999999971402726 hvCpG
cg00219626 0.999999971402726 hvCpG
cg00525277 0.999999971402726 hvCpG
cg00872984 0.9381697695372 hvCpG
cg01337207 0.946359429866043 hvCpG
cg01516851 0.978699444056251 hvCpG
cg01992382 0.921706076393809 hvCpG
cg02734259 0.878854154364548 hvCpG
cg02846841 0.999999971402726 hvCpG
cg03689146 0.927463348812966 hvCpG
cg05163071 0.970481088133799 hvCpG
cg06833823 0.92370398877117 hvCpG
cg07524919 0.999999971402726 hvCpG
cg08355456 0.999999971402726 hvCpG
cg08679971 0.999999971402726 hvCpG
cg09482050 0.87302899284479 hvCpG
cg09753657 0.999999971402726 hvCpG
cg10208301 0.999999971402726 hvCpG
cg10365886 0.999999971402726 hvCpG
cg10978585 0.87696248146517 hvCpG
cg13047157 0.937249170173494 hvCpG
cg13344095 0.999999971402726 hvCpG
cg14218481 0.999999971402726 hvCpG
cg14345882 0.999999971402726 hvCpG
cg15690347 0.892702116162679 hvCpG
cg16834823 0.872306415996736 hvCpG
cg17481235 0.999999971402726 hvCpG
cg18594701 0.999999971402726 hvCpG
cg18976044 0.993369954799013 hvCpG
cg19267551 0.999999971402726 hvCpG
cg21482472 0.839168644381907 hvCpG
cg21540359 0.954858207610409 hvCpG
cg22332722 0.798637099966919 hvCpG
cg22937354 0.999999971402726 hvCpG
cg23188684 0.962126779207569 hvCpG
cg24126967 0.935358048501139 hvCpG
cg24202936 0.999999971402726 hvCpG
cg24637308 0.958765635887921 hvCpG
cg25886479 0.858006618978168 hvCpG
cg26266427 0.999999971402726 hvCpG
cg26695758 0.999999971402726 hvCpG
cg27119456 0.999999971402726 hvCpG
cg00113675 0.837664925754251 hvCpG
cg00631329 0.999999971402726 hvCpG
cg01788773 0.930780197816047 hvCpG
cg02304584 0.937367855870606 hvCpG
cg02351381 0.987279896639815 hvCpG
cg02611934 0.959354070750001 hvCpG
cg03128011 0.91428116711104 hvCpG
cg03229061 0.988511145029918 hvCpG
cg03264133 0.999999971402726 hvCpG
cg05202300 0.999999971402726 hvCpG
cg05337761 0.946234529955083 hvCpG
cg05857999 0.999999971402726 hvCpG
cg06728252 0.92833572921547 hvCpG
cg07134666 0.800961360007196 hvCpG
cg07455790 0.984042227787825 hvCpG
cg07984380 0.85783041411112 hvCpG
cg08065408 0.866838668767261 hvCpG
cg08087969 0.820502811949684 hvCpG
cg08265274 0.993127837697881 hvCpG
cg08578320 0.983831889982891 hvCpG
cg08725892 0.821789622634353 hvCpG
cg09140531 0.82700959410887 hvCpG
cg09592244 0.999999971402726 hvCpG
cg10821226 0.992332500006719 hvCpG
cg10850215 0.999999971402726 hvCpG
cg11747594 0.999999971402726 hvCpG
cg12199221 0.869897980347529 hvCpG
cg12296550 0.999999971402726 hvCpG
cg13357922 0.861379797408379 hvCpG
cg13713218 0.999999971402726 hvCpG
cg14255617 0.779673731053896 hvCpG
cg15580309 0.908159715151509 hvCpG
cg15612221 0.923131053698679 hvCpG
cg15708526 0.81233315721585 hvCpG
cg15718932 0.868506216179124 hvCpG
cg15969227 0.999999971402726 hvCpG
cg16058990 0.831183060542643 hvCpG
cg18396357 0.984539367533467 hvCpG
cg18700013 0.859790872597204 hvCpG
cg19383211 0.999999971402726 hvCpG
cg20088245 0.999999971402726 hvCpG
cg20227056 0.738059652072492 hvCpG
cg20826740 0.892290657990831 hvCpG
cg21809927 0.968970801419957 hvCpG
cg22757362 0.999999971402726 hvCpG
cg23226914 0.973643288243781 hvCpG
cg25045942 0.999999971402726 hvCpG
cg25107000 0.829645729997636 hvCpG
cg25511667 0.907441004185564 hvCpG
cg25802888 0.69247721377031 hvCpG
