cpg_site,category,r_own,r_other,r_cross,own_layer,gene,dist_to_gene,pos,chr,dist_to_tss,dist_to_tss_signed,feature,in_TE,TE_class,TE_family,cluster_id
chr11_102638422,top1pcMesoOnly,0.636400729168947,0.184115807793117,0.485601537545308,Meso,MMP20-AS1,2655,102638422,chr11,2655,-2656,intergenic,TRUE,LTR,ERVL,1
chr12_46523390,top1pcMesoOnly,0.927282714835191,0.0295221543615973,0.466061740040184,Meso,SLC38A4-AS1,0,46523390,chr12,28817,-28818,intron,TRUE,SINE,Alu,2
chr13_53099617,top1pcMesoOnly,0.888203147062789,0.0646955016769165,0.472763714202122,Meso,LINC01065,0,53099617,chr13,52296,52297,exon,TRUE,LTR,ERVL,3
chr2_107345621,top1pcMesoOnly,0.740167936989489,0.156205830556187,0.0846327644058735,Meso,LINC01789,0,107345621,chr2,20251,20252,intron,FALSE,,,4
chr2_235728894,top1pcMesoOnly,0.701065775312565,0.0685168919555787,0.242961422395378,Meso,AGAP1,0,235728894,chr2,54492,54493,intron,FALSE,,,5
chr3_32472998,top1pcMesoOnly,0.840766838729166,0.0345768569492998,0.287942233781969,Meso,CMTM7,0,32472998,chr3,29853,29854,intron,FALSE,,,6
chr3_53818054,top1pcMesoOnly,0.537105750048414,0.084531761376149,0.434733136842466,Meso,CHDH,0,53818054,chr3,28364,28365,exon,FALSE,,,7
chr6_1206693,top1pcMesoOnly,0.591499873277612,0.0300372488657899,0.495285142253883,Meso,LINC01622,105270,1206693,chr6,105270,-105271,intron,FALSE,,,8
chr6_2857363,top1pcMesoOnly,0.637469229742302,0.167225863904098,0.492425895398729,Meso,SERPINB9P1,0,2857363,chr6,3255,-3256,promoter,FALSE,,,9
chrX_13085724,top1pcMesoOnly,0.794868476139387,0.124262116264202,0.236048964609318,Meso,LOC105373133,0,13085724,chrX,41028,41029,exon,FALSE,,,10
