cpg_site,category,chr,pos,gene,gene_start,gene_end,in_gene_body,is_ME_hit
chr11_17072761,constitutive,chr11,17072761,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072763,constitutive,chr11,17072763,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072794,constitutive,chr11,17072794,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072865,ambiguous,chr11,17072865,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072873,constitutive,chr11,17072873,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072885,constitutive,chr11,17072885,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072929,constitutive,chr11,17072929,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072943,constitutive,chr11,17072943,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072963,ambiguous,chr11,17072963,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17072974,constitutive,chr11,17072974,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073003,constitutive,chr11,17073003,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073071,ambiguous,chr11,17073071,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073103,constitutive,chr11,17073103,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073121,constitutive,chr11,17073121,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073125,constitutive,chr11,17073125,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073133,constitutive,chr11,17073133,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073228,ambiguous,chr11,17073228,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073335,ambiguous,chr11,17073335,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073549,ambiguous,chr11,17073549,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073561,ambiguous,chr11,17073561,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17073846,ambiguous,chr11,17073846,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17074438,ambiguous,chr11,17074438,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17074715,ambiguous,chr11,17074715,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17074910,ambiguous,chr11,17074910,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075075,constitutive,chr11,17075075,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075178,ambiguous,chr11,17075178,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075397,ambiguous,chr11,17075397,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075479,constitutive,chr11,17075479,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075584,ambiguous,chr11,17075584,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075639,ambiguous,chr11,17075639,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075656,ambiguous,chr11,17075656,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075759,ambiguous,chr11,17075759,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075840,ambiguous,chr11,17075840,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17075964,ambiguous,chr11,17075964,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076125,ambiguous,chr11,17076125,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076153,ambiguous,chr11,17076153,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076215,ambiguous,chr11,17076215,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076243,ambiguous,chr11,17076243,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076247,ambiguous,chr11,17076247,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076257,constitutive,chr11,17076257,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076321,constitutive,chr11,17076321,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076338,ambiguous,chr11,17076338,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076383,ambiguous,chr11,17076383,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076424,ambiguous,chr11,17076424,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076448,ambiguous,chr11,17076448,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076470,ambiguous,chr11,17076470,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076510,constitutive,chr11,17076510,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076512,ambiguous,chr11,17076512,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076534,ambiguous,chr11,17076534,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076699,ambiguous,chr11,17076699,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076716,ambiguous,chr11,17076716,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076725,ambiguous,chr11,17076725,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076805,constitutive,chr11,17076805,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076815,ambiguous,chr11,17076815,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17076930,constitutive,chr11,17076930,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077014,constitutive,chr11,17077014,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077057,constitutive,chr11,17077057,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077063,constitutive,chr11,17077063,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077126,constitutive,chr11,17077126,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077136,constitutive,chr11,17077136,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077168,constitutive,chr11,17077168,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077222,constitutive,chr11,17077222,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077225,constitutive,chr11,17077225,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077293,constitutive,chr11,17077293,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077296,constitutive,chr11,17077296,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077306,constitutive,chr11,17077306,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077319,constitutive,chr11,17077319,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077327,constitutive,chr11,17077327,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077329,constitutive,chr11,17077329,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077342,constitutive,chr11,17077342,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077361,constitutive,chr11,17077361,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077364,constitutive,chr11,17077364,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077373,constitutive,chr11,17077373,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077397,constitutive,chr11,17077397,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077408,constitutive,chr11,17077408,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077417,constitutive,chr11,17077417,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077419,constitutive,chr11,17077419,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077437,constitutive,chr11,17077437,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077442,constitutive,chr11,17077442,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077445,constitutive,chr11,17077445,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077459,constitutive,chr11,17077459,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077497,constitutive,chr11,17077497,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077510,constitutive,chr11,17077510,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077546,constitutive,chr11,17077546,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077551,constitutive,chr11,17077551,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077647,constitutive,chr11,17077647,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077650,constitutive,chr11,17077650,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077661,constitutive,chr11,17077661,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077672,constitutive,chr11,17077672,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077684,constitutive,chr11,17077684,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077687,constitutive,chr11,17077687,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077706,constitutive,chr11,17077706,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077725,constitutive,chr11,17077725,PIK3C2A,17077730,17207986,FALSE,FALSE
chr11_17077731,constitutive,chr11,17077731,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077743,constitutive,chr11,17077743,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077752,constitutive,chr11,17077752,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077760,constitutive,chr11,17077760,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077765,constitutive,chr11,17077765,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077774,constitutive,chr11,17077774,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077778,constitutive,chr11,17077778,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077799,constitutive,chr11,17077799,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077814,constitutive,chr11,17077814,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077817,constitutive,chr11,17077817,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077827,constitutive,chr11,17077827,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077846,constitutive,chr11,17077846,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077856,constitutive,chr11,17077856,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077884,constitutive,chr11,17077884,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077901,constitutive,chr11,17077901,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077911,constitutive,chr11,17077911,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077914,constitutive,chr11,17077914,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077930,constitutive,chr11,17077930,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077933,constitutive,chr11,17077933,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077949,constitutive,chr11,17077949,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17077958,constitutive,chr11,17077958,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078065,constitutive,chr11,17078065,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078073,constitutive,chr11,17078073,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078118,constitutive,chr11,17078118,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078134,constitutive,chr11,17078134,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078141,constitutive,chr11,17078141,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078152,constitutive,chr11,17078152,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078202,constitutive,chr11,17078202,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078208,constitutive,chr11,17078208,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078219,constitutive,chr11,17078219,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078247,constitutive,chr11,17078247,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078258,constitutive,chr11,17078258,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078265,constitutive,chr11,17078265,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078271,constitutive,chr11,17078271,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078283,constitutive,chr11,17078283,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078298,constitutive,chr11,17078298,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078307,constitutive,chr11,17078307,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078337,constitutive,chr11,17078337,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078457,constitutive,chr11,17078457,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078490,constitutive,chr11,17078490,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078498,constitutive,chr11,17078498,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078509,constitutive,chr11,17078509,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078529,constitutive,chr11,17078529,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078531,constitutive,chr11,17078531,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078537,constitutive,chr11,17078537,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078545,constitutive,chr11,17078545,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078554,ambiguous,chr11,17078554,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078561,constitutive,chr11,17078561,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078571,constitutive,chr11,17078571,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078617,ambiguous,chr11,17078617,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078656,ambiguous,chr11,17078656,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078694,ambiguous,chr11,17078694,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078709,ambiguous,chr11,17078709,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078713,ambiguous,chr11,17078713,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078746,ambiguous,chr11,17078746,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078756,ambiguous,chr11,17078756,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078758,ambiguous,chr11,17078758,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078766,ambiguous,chr11,17078766,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078809,ambiguous,chr11,17078809,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078843,ambiguous,chr11,17078843,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078847,ambiguous,chr11,17078847,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078853,constitutive,chr11,17078853,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078857,ambiguous,chr11,17078857,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078877,constitutive,chr11,17078877,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078909,constitutive,chr11,17078909,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078923,constitutive,chr11,17078923,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078931,ambiguous,chr11,17078931,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078947,constitutive,chr11,17078947,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17078949,constitutive,chr11,17078949,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079030,constitutive,chr11,17079030,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079045,constitutive,chr11,17079045,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079140,constitutive,chr11,17079140,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079166,constitutive,chr11,17079166,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079193,constitutive,chr11,17079193,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079245,constitutive,chr11,17079245,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079249,constitutive,chr11,17079249,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079251,constitutive,chr11,17079251,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079261,constitutive,chr11,17079261,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079294,constitutive,chr11,17079294,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079298,constitutive,chr11,17079298,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079305,constitutive,chr11,17079305,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079319,constitutive,chr11,17079319,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079339,constitutive,chr11,17079339,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079350,ambiguous,chr11,17079350,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079380,constitutive,chr11,17079380,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079384,constitutive,chr11,17079384,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079392,constitutive,chr11,17079392,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079396,constitutive,chr11,17079396,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079440,constitutive,chr11,17079440,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079448,constitutive,chr11,17079448,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079455,constitutive,chr11,17079455,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079474,constitutive,chr11,17079474,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079478,constitutive,chr11,17079478,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079510,constitutive,chr11,17079510,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079518,constitutive,chr11,17079518,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079571,constitutive,chr11,17079571,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079677,constitutive,chr11,17079677,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079820,constitutive,chr11,17079820,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079861,ambiguous,chr11,17079861,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17079997,constitutive,chr11,17079997,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080150,ambiguous,chr11,17080150,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080168,constitutive,chr11,17080168,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080178,constitutive,chr11,17080178,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080187,constitutive,chr11,17080187,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080496,ambiguous,chr11,17080496,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080536,constitutive,chr11,17080536,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080753,ambiguous,chr11,17080753,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080815,ambiguous,chr11,17080815,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080847,constitutive,chr11,17080847,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080871,constitutive,chr11,17080871,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080879,constitutive,chr11,17080879,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080883,constitutive,chr11,17080883,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080965,constitutive,chr11,17080965,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17080969,constitutive,chr11,17080969,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081018,ambiguous,chr11,17081018,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081104,ambiguous,chr11,17081104,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081457,constitutive,chr11,17081457,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081569,ambiguous,chr11,17081569,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081607,constitutive,chr11,17081607,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081612,constitutive,chr11,17081612,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081623,constitutive,chr11,17081623,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081668,ambiguous,chr11,17081668,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081733,constitutive,chr11,17081733,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081753,constitutive,chr11,17081753,PIK3C2A,17077730,17207986,TRUE,FALSE
