cpg_site,category,chr,pos,gene,gene_start,gene_end,in_gene_body,is_meso_hit
chr3_124900483,ambiguous,chr3,124900483,MUC13,124905442,124953819,FALSE,FALSE
chr3_124900701,ambiguous,chr3,124900701,MUC13,124905442,124953819,FALSE,FALSE
chr3_124900752,ambiguous,chr3,124900752,MUC13,124905442,124953819,FALSE,FALSE
chr3_124900834,constitutive,chr3,124900834,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901119,constitutive,chr3,124901119,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901162,ambiguous,chr3,124901162,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901247,ambiguous,chr3,124901247,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901283,ambiguous,chr3,124901283,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901305,ambiguous,chr3,124901305,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901339,ambiguous,chr3,124901339,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901347,ambiguous,chr3,124901347,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901369,ambiguous,chr3,124901369,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901390,constitutive,chr3,124901390,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901449,ambiguous,chr3,124901449,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901454,constitutive,chr3,124901454,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901457,constitutive,chr3,124901457,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901492,constitutive,chr3,124901492,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901502,constitutive,chr3,124901502,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901508,constitutive,chr3,124901508,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901523,constitutive,chr3,124901523,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901535,ambiguous,chr3,124901535,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901590,constitutive,chr3,124901590,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901733,ambiguous,chr3,124901733,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901753,ambiguous,chr3,124901753,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901788,ambiguous,chr3,124901788,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901811,ambiguous,chr3,124901811,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901818,ambiguous,chr3,124901818,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901823,ambiguous,chr3,124901823,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901862,constitutive,chr3,124901862,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901882,constitutive,chr3,124901882,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901911,constitutive,chr3,124901911,MUC13,124905442,124953819,FALSE,FALSE
chr3_124901989,constitutive,chr3,124901989,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902118,ambiguous,chr3,124902118,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902132,ambiguous,chr3,124902132,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902178,ambiguous,chr3,124902178,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902188,ambiguous,chr3,124902188,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902213,ambiguous,chr3,124902213,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902221,ambiguous,chr3,124902221,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902253,ambiguous,chr3,124902253,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902845,ambiguous,chr3,124902845,MUC13,124905442,124953819,FALSE,FALSE
chr3_124902890,constitutive,chr3,124902890,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903072,constitutive,chr3,124903072,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903175,constitutive,chr3,124903175,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903370,ambiguous,chr3,124903370,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903470,ambiguous,chr3,124903470,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903540,constitutive,chr3,124903540,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903570,ambiguous,chr3,124903570,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903829,constitutive,chr3,124903829,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903866,ambiguous,chr3,124903866,MUC13,124905442,124953819,FALSE,FALSE
chr3_124903990,ambiguous,chr3,124903990,MUC13,124905442,124953819,FALSE,FALSE
chr3_124904873,ambiguous,chr3,124904873,MUC13,124905442,124953819,FALSE,FALSE
chr3_124904888,ambiguous,chr3,124904888,MUC13,124905442,124953819,FALSE,FALSE
chr3_124904918,ambiguous,chr3,124904918,MUC13,124905442,124953819,FALSE,FALSE
chr3_124905017,constitutive,chr3,124905017,MUC13,124905442,124953819,FALSE,FALSE
