cpg_site,chr,pos,gene,gene_start,gene_end,in_gene_body,is_meso_hit
chr13_25367200,chr13,25367200,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367226,chr13,25367226,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367525,chr13,25367525,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367696,chr13,25367696,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367712,chr13,25367712,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367785,chr13,25367785,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367797,chr13,25367797,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367799,chr13,25367799,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367915,chr13,25367915,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367944,chr13,25367944,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25367981,chr13,25367981,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25368197,chr13,25368197,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25368261,chr13,25368261,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25368404,chr13,25368404,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25368600,chr13,25368600,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25368682,chr13,25368682,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25368855,chr13,25368855,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25368912,chr13,25368912,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25369013,chr13,25369013,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25369118,chr13,25369118,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25369191,chr13,25369191,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25369201,chr13,25369201,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25369288,chr13,25369288,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25369300,chr13,25369300,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370406,chr13,25370406,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370439,chr13,25370439,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370461,chr13,25370461,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370497,chr13,25370497,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370500,chr13,25370500,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370529,chr13,25370529,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370540,chr13,25370540,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370542,chr13,25370542,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370585,chr13,25370585,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370618,chr13,25370618,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370630,chr13,25370630,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370632,chr13,25370632,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370634,chr13,25370634,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370675,chr13,25370675,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370691,chr13,25370691,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370733,chr13,25370733,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370751,chr13,25370751,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370782,chr13,25370782,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370814,chr13,25370814,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370826,chr13,25370826,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370846,chr13,25370846,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370882,chr13,25370882,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370885,chr13,25370885,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370902,chr13,25370902,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25370910,chr13,25370910,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371018,chr13,25371018,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371117,chr13,25371117,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371175,chr13,25371175,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371186,chr13,25371186,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371275,chr13,25371275,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371277,chr13,25371277,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371333,chr13,25371333,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371376,chr13,25371376,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371518,chr13,25371518,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371568,chr13,25371568,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371622,chr13,25371622,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371656,chr13,25371656,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371673,chr13,25371673,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371712,chr13,25371712,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371774,chr13,25371774,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25371812,chr13,25371812,ATP8A2,25371974,26025851,FALSE,FALSE
chr13_25372623,chr13,25372623,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372632,chr13,25372632,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372642,chr13,25372642,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372644,chr13,25372644,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372656,chr13,25372656,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372664,chr13,25372664,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372667,chr13,25372667,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372693,chr13,25372693,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372696,chr13,25372696,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372700,chr13,25372700,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372706,chr13,25372706,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372749,chr13,25372749,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372761,chr13,25372761,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372808,chr13,25372808,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372811,chr13,25372811,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372814,chr13,25372814,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372856,chr13,25372856,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372868,chr13,25372868,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372874,chr13,25372874,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372876,chr13,25372876,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372878,chr13,25372878,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372880,chr13,25372880,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372908,chr13,25372908,ATP8A2,25371974,26025851,TRUE,FALSE
