hvCpG_name controlCpG_name
cg00660989 cg11566975
cg02753903 cg04086531
cg08085597 cg04907244
cg08094206 cg09488196
cg09234582 cg12669395
cg04007531 cg12457901
cg08222513 cg04483720
cg11406274 cg05523662
cg04358463 cg08951638
cg00259046 cg13213009
cg02574073 cg12634245
cg05888755 cg08093277
cg10146935 cg03023089
cg02989255 cg01050736
cg04679849 cg02601318
cg05685892 cg09514561
cg10409680 cg12826209
cg10568066 cg07899532
cg10919664 cg11187245
cg10923662 cg06264679
cg11935738 cg08027810
cg12076350 cg00244776
cg12672189 cg08696107
cg13044052 cg05812266
cg00646200 cg00580354
cg04657470 cg13067095
cg00233420 cg04940435
cg00632811 cg07570687
cg02848996 cg07944420
cg03078486 cg02580923
cg03220455 cg11970289
cg03748376 cg08866695
cg03808007 cg11958269
cg05496603 cg13297560
cg06705862 cg03900284
cg06791446 cg12292205
cg07018435 cg02832485
cg07775309 cg00722320
cg09340198 cg09682183
cg09517766 cg04682791
cg10327440 cg03658251
cg10482057 cg11335536
cg10556349 cg05765605
cg10578777 cg12106271
cg10973622 cg12162886
cg11086312 cg03321043
cg11850943 cg07743747
cg12355172 cg04263702
cg12756686 cg03464017
cg00219626 cg03084350
cg00525277 cg08619515
cg00872984 cg05146922
cg02734259 cg12564453
cg03689146 cg04749740
cg05163071 cg07197092
cg06833823 cg08798685
cg07524919 cg11866719
cg08355456 cg06200697
cg08679971 cg04124636
cg09482050 cg06105699
cg09753657 cg12060786
cg10208301 cg11369071
cg10365886 cg08843623
cg10890302 cg04646282
cg10978585 cg03168947
cg13047157 cg09577455
cg13344095 cg05046936
cg00631329 cg06832687
cg02611934 cg08167110
cg03128011 cg06678242
cg03229061 cg00933538
cg03264133 cg04567302
cg05202300 cg06784539
cg05857999 cg08293075
cg06703343 cg00476653
cg06728252 cg03852670
cg07134666 cg00724111
cg07455790 cg03622666
cg07984380 cg11145399
cg08065408 cg12716083
cg08087969 cg04087740
cg08265274 cg07170300
cg08578320 cg07518330
cg08725892 cg00501919
cg09140531 cg04852977
cg09592244 cg00516481
cg10821226 cg00001099
cg10850215 cg04208928
cg11747594 cg12940923
cg12199221 cg11367159
cg12296550 cg10504392
cg13357922 cg09547119
cg03122674 cg09451574
cg03248761 cg10606698
cg03829739 cg10341242
cg04391048 cg12350474
cg05333568 cg04211179
cg05655885 cg07056299
cg05670995 cg00028184
cg05852568 cg07317017
cg06802630 cg00533649
cg07105596 cg03416628
cg08767686 cg02611031
cg08837037 cg06970472
cg09169779 cg09647375
cg10424751 cg05901765
cg01016191 cg03298312
cg02784823 cg07379028
cg04876245 cg00273068
cg04926766 cg10984179
cg05475109 cg13401811
cg08681904 cg05302445
cg10409981 cg09275862
cg11235426 cg04991071
cg12756504 cg08973675
cg13471254 cg05072951
cg00060374 cg03558177
cg00748494 cg00757933
cg00910586 cg03517160
cg00953006 cg06388647
cg02633068 cg12460175
cg02675264 cg07761646
cg02790305 cg04052934
cg02834909 cg08700306
cg03124146 cg08328067
cg03357999 cg06512249
cg03466525 cg11333968
cg03517284 cg08962185
cg03601372 cg11987759
cg03773183 cg06330289
cg04044120 cg08352439
cg04160749 cg04666465
cg04298253 cg00004105
cg04612667 cg05893029
cg05194412 cg06781135
cg05313129 cg00695391
cg05845376 cg02830936
cg06060522 cg04453050
cg06098368 cg00267713
cg06419732 cg04011671
cg06421590 cg06002952
cg06739303 cg05412222
cg06742077 cg07599786
cg06840743 cg06683080
cg07475394 cg04206967
cg07496545 cg03810768
cg07502444 cg13182599
cg07537562 cg13215995
cg07659053 cg02780210
cg07770222 cg08650125
cg08200543 cg13478010
cg08964643 cg05732883
cg09179646 cg06329093
cg09232555 cg02965178
cg09361966 cg03841977
cg09508730 cg06874323
cg09573658 cg04718050
cg09658497 cg07318204
cg09744766 cg09358973
cg09929763 cg04202511
cg10091996 cg10181414
cg10116893 cg13116158
cg10144400 cg12000131
cg10208897 cg09811860
cg10612096 cg12006375
cg10747531 cg10191240
cg11185456 cg06861736
cg11649679 cg09789426
cg11885357 cg11907477
cg12303318 cg00422699
cg12437277 cg07398661
cg12440062 cg05758467
cg12479444 cg06197966
cg12667521 cg10731507
cg12856392 cg06442199
cg12948059 cg13494173
cg13348458 cg10365562
cg13448197 cg12032713
cg00050402 cg07239110
cg00065396 cg11824827
cg00447646 cg11367973
cg00590063 cg10961484
cg00698771 cg07551060
cg00817731 cg05866021
cg00851732 cg05474605
cg01055696 cg08781584
cg01124132 cg10347418
cg02566259 cg08640901
cg02945266 cg05038268
cg02991085 cg07311419
cg03054684 cg08360599
cg03255953 cg11024450
cg03327325 cg11496569
cg03454541 cg10588679
cg03600259 cg09134314
cg03954144 cg12155028
cg03961283 cg12644845
cg03990412 cg08168768
cg04090412 cg07586285
cg04143909 cg02936207
cg04197086 cg07191791
cg04348558 cg03546360
cg04434244 cg03186367
cg04522432 cg02951765
cg04587161 cg08127462
cg04815577 cg06657096
cg05210606 cg08474929
cg05225684 cg03818034
cg05332308 cg08311343
cg05708536 cg00933443
cg05727070 cg12589972
cg05830791 cg13412283
cg05852276 cg00867472
cg05946623 cg08229358
cg06168204 cg05185038
cg06238316 cg01041455
cg06282964 cg07747616
cg06307939 cg07169826
cg06366791 cg11935018
cg06385380 cg12323063
cg06423211 cg09479818
cg06429214 cg08785166
cg07262395 cg02807008
cg07420274 cg00049440
cg07504200 cg11594217
cg07769957 cg09155905
cg07911664 cg08533336
cg08129505 cg08475853
cg08151623 cg05221738
cg08243619 cg10190990
cg08316083 cg06653052
cg08415582 cg10082841
cg08594888 cg03781224
cg08684893 cg06786860
cg08704196 cg03072195
cg08822075 cg10447080
cg09057517 cg02990330
cg09119043 cg04747322
cg09214243 cg03848588
cg09352518 cg09766547
cg09491536 cg00784009
cg09834706 cg10759648
cg09920172 cg08830139
cg09945482 cg00578032
cg10087780 cg07900328
cg10208485 cg11752894
cg10555800 cg13208413
cg10600889 cg11532433
cg10776230 cg12288726
cg11057205 cg06060874
cg11207515 cg07474494
cg11460282 cg00936699
cg11586570 cg00916659
cg11641395 cg08198040
cg11839415 cg06967127
cg12302982 cg11025743
cg12534759 cg08016802
cg12798157 cg04057238
cg12848457 cg13149600
cg13164087 cg06781853
cg13424878 cg02969426
cg00055529 cg07472159
cg02750792 cg10290767
cg03379552 cg10319474
cg03490759 cg08675000
cg03660901 cg05224573
cg04120272 cg04847548
cg04585822 cg10095247
cg04844038 cg08570472
cg05290058 cg00415276
cg06070970 cg13452939
cg06324373 cg11155082
cg06862049 cg00789731
cg07091678 cg02797201
cg07472579 cg06491456
cg07509935 cg00522316
cg07800227 cg06175001
cg08282428 cg10958402
cg08747963 cg11248715
cg08967338 cg00380172
cg09107161 cg02985541
cg09570348 cg12214665
cg10025714 cg10199168
cg10413224 cg03166258
cg12906381 cg01036148
cg13405775 cg12266151
cg00056433 cg11313862
cg00258081 cg11478024
cg00260937 cg08454687
cg00270625 cg06096446
cg00277334 cg10333023
cg00290607 cg07083272
cg00318631 cg03240059
cg00335715 cg05745134
cg00458337 cg06259125
cg00472710 cg05548190
cg00481259 cg04709703
cg00495303 cg09450823
cg00496961 cg13275603
cg00533202 cg10157098
cg00601450 cg00452199
cg00738934 cg09940311
cg00785941 cg10997785
cg00791851 cg09812376
cg00809820 cg04871807
cg00817464 cg13185377
cg00835279 cg10381520
cg00893488 cg00888605
cg00901687 cg09901733
cg00909806 cg12366772
cg00933542 cg11713064
cg00935504 cg02642549
cg01017244 cg08553467
cg01046070 cg07438660
cg01056242 cg04608779
cg01084566 cg13482309
cg01093138 cg12864235
cg01097406 cg03536711
cg02524346 cg00398420
cg02527881 cg05040210
cg02567769 cg03390472
cg02573091 cg13416381
cg02594532 cg07730007
cg02599498 cg11735311
cg02643433 cg04912712
cg02678768 cg04132199
cg02715879 cg13377965
cg02754929 cg10281478
cg02769477 cg04973183
cg02873954 cg00424286
cg02937671 cg07148744
cg02964065 cg10376053
cg03126765 cg07007312
cg03161606 cg12329853
cg03256090 cg13490869
cg03299990 cg06473578
cg03324961 cg05617483
cg03329597 cg10960709
cg03336167 cg00348244
cg03364381 cg08948841
cg03382370 cg06151968
cg03392386 cg08705697
cg03402351 cg07541023
cg03433033 cg11143148
cg03441844 cg04850017
cg03447554 cg08817983
cg03465320 cg06965195
cg03478739 cg02556928
cg03527501 cg00027674
cg03607813 cg08979515
cg03651054 cg05947740
cg03738707 cg02925367
cg03770907 cg06893273
cg03847932 cg03849834
cg03938978 cg09101151
cg03964111 cg13283896
cg03996861 cg12136950
cg04028570 cg03045620
cg04071440 cg08460875
cg04117972 cg04744379
cg04156016 cg13033722
cg04398451 cg03315456
cg04546413 cg00667525
cg04554929 cg12350822
cg04657146 cg12367833
cg04721828 cg12600289
cg04737881 cg04704294
cg04742556 cg10219771
cg04811706 cg03036214
cg04863005 cg02771260
cg04895001 cg06117824
cg04896168 cg05340255
cg04918696 cg13462158
cg05090351 cg08750510
cg05180887 cg08099141
cg05182265 cg08531263
cg05234568 cg02675946
cg05293897 cg06547513
cg05304361 cg06683719
cg05332483 cg00512563
cg05342682 cg07356745
cg05373263 cg10803034
cg05393297 cg00515814
cg05401945 cg09879382
cg05406088 cg10512769
cg05422022 cg04255733
cg05457730 cg06008724
cg05468156 cg06194738
cg05468953 cg07855572
cg05505103 cg12188860
cg05505459 cg03725404
cg05523882 cg10951975
cg05547895 cg00883123
cg05573767 cg07107916
cg05579037 cg08228813
cg05630272 cg03108070
cg05638439 cg04536393
cg05726600 cg05187965
cg05729249 cg03462130
cg05731801 cg08035082
cg05813221 cg03260166
cg05843457 cg04283868
cg05856321 cg10636020
cg05890377 cg10342016
cg05962382 cg08330950
cg05992904 cg11870100
cg06012872 cg03198678
cg06019590 cg08017756
cg06042504 cg09777775
cg06060754 cg05962755
cg06085042 cg03174931
cg06201514 cg04332619
cg06205333 cg12301814
cg06209897 cg11606459
cg06299284 cg11911679
cg06353069 cg10534904
cg06394874 cg11881472
cg06400119 cg06146665
cg06405146 cg02939781
cg06417478 cg13262424
cg06437740 cg05630773
cg06468108 cg07050504
cg06484146 cg11789530
cg06679270 cg09438075
cg06712767 cg08155050
cg06715136 cg05082466
cg06741367 cg12242373
cg06766960 cg05874888
cg06789517 cg08863620
cg06791546 cg11345693
cg06809298 cg07388171
cg06850787 cg10997248
cg06906464 cg10515956
cg06922938 cg13320181
cg06963709 cg00418071
cg07033475 cg12089490
cg07044276 cg00334532
cg07075347 cg07392085
cg07093428 cg08822891
cg07099606 cg12002139
cg07100532 cg09048251
cg07119830 cg10884068
cg07234876 cg04074945
cg07293736 cg07784793
cg07450552 cg06623918
cg07480608 cg09953287
cg07499182 cg00594167
cg07581883 cg09368486
cg07594247 cg07452312
cg07629776 cg09473396
cg07635485 cg08181850
cg07685180 cg07957069
cg07700233 cg04553112
cg07720865 cg07136905
cg07721625 cg00638631
cg07772999 cg03377895
cg07837187 cg05220092
cg07873154 cg11462099
cg08007378 cg03396826
cg08031982 cg05130482
cg08219700 cg04202120
cg08260406 cg04095045
cg08322244 cg06994016
cg08322580 cg07749845
cg08355045 cg06585893
cg08373605 cg03856109
cg08387835 cg02914422
cg08419873 cg07647771
cg08423857 cg12943317
cg08453205 cg09721595
cg08564027 cg02938205
cg08702915 cg05609160
cg08716584 cg06327814
cg08726338 cg02832697
cg08770870 cg00498804
cg08779649 cg07066907
cg08817693 cg06705986
cg08861456 cg00448162
cg08871495 cg00549451
cg08922308 cg06792262
cg08944170 cg03247245
cg09015433 cg05372963
cg09044981 cg05033439
cg09050832 cg04307987
cg09127314 cg12548454
cg09164108 cg05490029
cg09192369 cg04484994
cg09235983 cg05774698
cg09336323 cg08231697
cg09357589 cg09552548
cg09362608 cg04486305
cg09417038 cg04342483
cg09419670 cg07223240
cg09428340 cg13395646
cg09501821 cg04605697
cg09506600 cg06748470
cg09507567 cg09051904
cg09526685 cg08441803
cg09611599 cg08181402
cg09704166 cg12537405
cg09756125 cg07026918
cg09768983 cg08776014
cg09827761 cg07745373
cg09847153 cg08917208
cg09858108 cg07098722
cg09915433 cg04961911
cg09937190 cg00220102
cg09954631 cg03335624
cg09971562 cg12327866
cg09997546 cg11406134
cg10075506 cg08496953
cg10113760 cg09423836
cg10281770 cg04103317
cg10372770 cg07906193
cg10374084 cg08240539
cg10470891 cg10640833
cg10483660 cg06359703
cg10486069 cg03162314
cg10523679 cg06761850
cg10553204 cg05578865
cg10590925 cg10321404
cg10596483 cg05667917
cg10621924 cg04898035
cg10639368 cg06112894
cg10685359 cg05044414
cg10785373 cg05131526
cg10807101 cg10780632
cg10833066 cg03171300
cg10857441 cg00783877
cg10950924 cg05080940
cg10962762 cg05478818
cg10969241 cg10926487
cg11037576 cg04090347
cg11062466 cg04706597
cg11065575 cg11456838
cg11166453 cg12586109
cg11177526 cg12108730
cg11234688 cg04921771
cg11247378 cg06582782
cg11266682 cg06738602
cg11331717 cg00692367
cg11395954 cg05574313
cg11488033 cg13058819
cg11537406 cg10357314
cg11560654 cg12535380
cg11575295 cg10259518
cg11606877 cg04908905
cg11612799 cg13072943
cg11612852 cg03226887
cg11629812 cg08469491
cg11645453 cg07624650
cg11677105 cg06600135
cg11725581 cg03635073
cg11738485 cg08899523
cg11763394 cg06347083
cg11805138 cg11399254
cg11811828 cg06942649
cg11861562 cg03062252
cg11862551 cg07539248
cg11955878 cg07151443
cg12006118 cg12124589
cg12011299 cg01157951
cg12016809 cg12589538
cg12050358 cg03879000
cg12110262 cg06476685
cg12128614 cg12681001
cg12239580 cg07138399
cg12319143 cg07891820
cg12437481 cg07863524
cg12548638 cg06408912
cg12582028 cg08791882
cg12648811 cg12444411
cg12725760 cg06223080
cg12751644 cg12121075
cg12758973 cg00632560
cg12759523 cg02919090
cg12765123 cg07961098
cg12889195 cg12635120
cg12935359 cg05396897
cg12955789 cg10377510
cg12959820 cg06458106
cg12968598 cg06985415
cg13012494 cg09548084
cg13016797 cg07660236
cg13045913 cg00369056
cg13070366 cg05265849
cg13199429 cg13456504
cg13264672 cg10158843
cg13266496 cg06048436
cg13393036 cg11784243
cg13473803 cg10645314
cg00021855 cg13202591
cg00028014 cg11303630
cg00255882 cg08152926
cg00269817 cg04965050
cg00304520 cg05261851
cg00406010 cg08479319
cg00413030 cg04440717
cg00413089 cg13427421
cg00414890 cg11179868
cg00436969 cg00893385
cg00478479 cg06865993
cg00509485 cg11362820
cg00520378 cg10082398
cg00540400 cg09648727
cg00572586 cg09370806
cg00576936 cg07047815
cg00579423 cg12280692
cg00586317 cg07220032
cg00595051 cg05531482
cg00599530 cg09664479
cg00610991 cg12184293
cg00697301 cg09347578
cg00757033 cg11566244
cg00758881 cg11704601
cg00772991 cg04473763
cg00784671 cg06895675
cg00791764 cg07807395
cg00813752 cg01026256
cg00821600 cg12856447
cg00850481 cg11895596
cg00859178 cg13320211
cg00867835 cg07880109
cg00893875 cg10121294
cg00901598 cg05633225
cg00922157 cg00688236
cg00951395 cg10593047
cg00991179 cg03990906
cg00993830 cg10671830
cg01022117 cg06934132
cg01059385 cg07545627
cg01062020 cg11256607
cg01114163 cg06316219
cg01119278 cg00025439
cg01126532 cg03370704
cg01142721 cg11201447
cg01144436 cg00899855
cg01152897 cg11176525
cg01156747 cg07967723
cg02513556 cg12052497
cg02518135 cg09744051
cg02524205 cg12114735
cg02530824 cg13308964
