chr	pos
chr1	3332671
chr1	11644156
chr1	15584385
chr1	16167239
chr1	25618560
chr1	26030509
chr1	26319849
chr1	36555214
chr1	53638146
chr1	96518976
chr1	98733419
chr1	112329623
chr1	114136997
chr1	119005528
chr1	151197469
chr1	151352085
chr1	153022380
chr1	154707828
chr1	156193528
chr1	156246289
chr1	167629958
chr1	168997424
chr1	180935427
chr1	181629071
chr1	212917135
chr1	221839912
chr10	13054037
chr10	15761856
chr10	22875783
chr10	32230625
chr10	43215249
chr10	46051416
chr10	48531683
chr10	86942707
chr10	103584792
chr10	103848137
chr10	116238155
chr10	117126088
chr10	117126333
chr10	123497213
chr10	129394840
chr10	130359215
chr10	131223999
chr10	131581723
chr10	132416091
chr11	1338849
chr11	12886036
chr11	18108059
chr11	64041133
chr11	64236610
chr11	65642354
chr11	66959350
chr11	68878159
chr11	69152182
chr11	69702042
chr11	94584351
chr11	117071886
chr11	125382866
chr11	125418747
chr11	126461346
chr11	131933432
chr11	132479453
chr12	2377330
chr12	34421085
chr12	47817468
chr12	54329411
chr12	96485658
chr12	103365614
chr12	104215539
chr12	109264248
chr12	109925358
chr12	115334226
chr12	121366048
chr12	124548162
chr12	132188299
chr12	132417868
chr12	133232969
chr13	18287696
chr13	25852742
chr13	51782350
chr13	87447540
chr13	99977890
chr13	111422484
chr14	20747558
chr14	50363770
chr14	68434182
chr14	72645911
chr14	92261125
chr14	96585335
chr14	97459083
chr14	99617228
chr14	102126515
chr14	103332688
chr14	104105553
chr15	25644379
chr15	37642362
chr15	59863352
chr15	60876327
chr15	65305540
chr15	77815002
chr15	82808150
chr15	82850898
chr15	99438835
chr15	101653213
chr16	984377
chr16	2825470
chr16	10385715
chr16	11330143
chr16	26750116
chr16	27143556
chr16	27782241
chr16	28862806
chr16	29829449
chr16	31427636
chr16	31639411
chr16	32127597
chr16	34663733
chr16	49395896
chr16	57529241
chr16	73010278
chr16	83267621
chr16	85509285
chr16	88116470
chr16	88786563
chr16	88901804
chr17	4692189
chr17	6985285
chr17	16415616
chr17	68247196
chr17	75539860
chr17	81080366
chr17	82000072
chr17	83200496
chr18	14600023
chr18	22530056
chr18	36160184
chr18	60868500
chr18	77421661
chr18	79643254
chr19	1081819
chr19	4208634
chr19	6933868
chr19	7620450
chr19	9960591
chr19	10547625
chr19	14428342
chr19	17224895
chr19	19228631
chr19	38754365
chr19	39437477
chr19	47022375
chr19	47357047
chr19	48096320
chr19	50259120
chr19	55032523
chr19	56667668
chr2	1220639
chr2	70202883
chr2	70896812
chr2	71024387
chr2	95526129
chr2	101245113
chr2	104373927
chr2	128902340
chr2	175400388
chr2	182031185
chr2	187003438
chr2	203707953
chr2	213001584
chr2	217062556
chr2	226994954
chr2	228500207
chr2	230318605
chr20	18728365
chr20	31274499
chr20	38892436
chr20	41378024
chr20	53469500
chr20	56318577
chr20	63085658
chr20	63131247
chr20	63165100
chr21	14070208
chr21	19898807
chr21	37565327
chr21	38664557
chr21	42518157
chr21	44344331
chr21	45819850
chr22	12168418
chr22	18958409
chr22	26630073
chr22	26665011
chr22	27803413
chr22	42092158
chr22	46262573
chr22	49646965
chr22	50267083
chr22	50499363
chr3	5027252
chr3	26878167
chr3	46984285
chr3	46988170
chr3	50340540
chr3	54203074
chr3	61178549
chr3	72302013
chr3	75583245
chr3	75583318
chr3	95090765
chr3	98758134
chr3	122232635
chr3	124292638
chr3	126214216
chr3	128421689
chr3	141009558
chr3	157701978
chr3	161514273
chr3	187890625
chr3	196648504
chr4	981446
chr4	4461846
chr4	6355382
chr4	7722248
chr4	8351429
chr4	9381003
chr4	12118549
chr4	26822662
chr4	37436122
chr4	64314525
chr4	64927430
chr4	78704723
chr4	134394695
chr4	164959805
chr4	184040172
chr4	184097440
chr4	188315458
chr5	1597217
chr5	1778903
chr5	24317711
chr5	33600908
chr5	36017684
chr5	36953216
chr5	58913787
chr5	62208520
chr5	63155217
chr5	76199453
chr5	88827334
chr5	96656366
chr5	134906266
chr5	135036179
chr5	137889034
chr5	140967502
chr5	141173749
chr5	141477532
chr5	146333950
chr5	170715905
chr6	10659443
chr6	10882717
chr6	24684543
chr6	25263453
chr6	27187194
chr6	30467409
chr6	31088249
chr6	31766163
chr6	35503585
chr6	45236020
chr6	68487849
chr6	68633390
chr6	69431934
chr6	96784428
chr6	126033156
chr6	128911345
chr6	130194025
chr6	133746072
chr6	133948746
chr6	138523563
chr6	150490691
chr6	158356641
chr6	159578134
chr7	5164167
chr7	5564384
chr7	30642492
chr7	43199785
chr7	56454779
chr7	58045908
chr7	73565783
chr7	76166396
chr7	95917591
chr7	115420145
chr7	116306146
chr7	134355048
chr7	142352789
chr8	4462694
chr8	28419410
chr8	41725935
chr8	109229267
chr8	127312020
chr8	140469431
chr8	142700164
chr8	142907539
chr8	143554180
chr9	263022
chr9	6873941
chr9	11233815
chr9	20682982
chr9	21152362
chr9	36826325
chr9	42853495
chr9	63348247
chr9	76836241
chr9	77514982
chr9	78292300
chr9	78618458
chr9	80747246
chr9	81101871
chr9	127752452
chr9	130376556
chr9	134026344
chr9	135481350
chrX	8064562
chrX	9651990
chrX	10473748
chrX	14690789
chrX	19640587
chrX	29799022
chrX	30374129
chrX	45479778
chrX	47084584
chrX	52246947
chrX	66086837
chrX	66639832
chrX	70303289
chrX	78119699
chrX	87489343
chrX	88018355
chrX	92117524
chrX	103155912
chrX	117454191
chrX	121786794
chrX	125833062
chrX	131200477
chrX	133812641
chrX	134890929
chrX	140679022
chrX	142933309
chrX	143934254
chrX	145393855
chrX	145459539
chrX	153892697
chrX	154793630
