cpg_site,chr,pos,gene,gene_start,gene_end,in_gene_body,is_endo_hit
chr3_75625908,chr3,75625908,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75625998,chr3,75625998,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626038,chr3,75626038,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626042,chr3,75626042,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626098,chr3,75626098,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626130,chr3,75626130,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626136,chr3,75626136,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626160,chr3,75626160,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626224,chr3,75626224,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626365,chr3,75626365,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75626468,chr3,75626468,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75627268,chr3,75627268,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75627773,chr3,75627773,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75627803,chr3,75627803,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75627937,chr3,75627937,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75628060,chr3,75628060,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75628283,chr3,75628283,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75628872,chr3,75628872,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75628948,chr3,75628948,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75628956,chr3,75628956,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75629558,chr3,75629558,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75629998,chr3,75629998,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75630192,chr3,75630192,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75630303,chr3,75630303,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75630387,chr3,75630387,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75630443,chr3,75630443,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75630682,chr3,75630682,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75631035,chr3,75631035,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75631522,chr3,75631522,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75631591,chr3,75631591,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75631722,chr3,75631722,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75631768,chr3,75631768,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75631835,chr3,75631835,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75632081,chr3,75632081,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75632243,chr3,75632243,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75632263,chr3,75632263,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75632508,chr3,75632508,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75632516,chr3,75632516,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75632911,chr3,75632911,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633011,chr3,75633011,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633030,chr3,75633030,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633180,chr3,75633180,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633707,chr3,75633707,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633768,chr3,75633768,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633782,chr3,75633782,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633826,chr3,75633826,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633838,chr3,75633838,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633920,chr3,75633920,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75633993,chr3,75633993,MIR1324,75630763,75630858,FALSE,FALSE
