cpg_site,category,r_own,r_other,r_cross,own_layer,gene,dist_to_gene,pos,chr,dist_to_tss,dist_to_tss_signed,feature,in_TE,TE_class,TE_family,cluster_id
chr1_3332671,top1pcEndoOnly,0.59575812193017,0.068629328015787,0.306718272277573,Endo,PRDM16,0,3332671,chr1,9521,-9522,intron,TRUE,LINE,L1,1
chr1_11644156,top1pcEndoOnly,0.791554623176703,0.0248389260983306,0.410308575386935,Endo,FBXO2,0,11644156,chr1,10218,-10219,intron,TRUE,LINE,L2,2
chr1_15584385,top1pcEndoOnly,0.834618988501026,0.265074091594224,0.328598627274028,Endo,AGMAT,0,15584385,chr1,665,666,intron,TRUE,SINE,Alu,3
chr1_16167239,top1pcEndoOnly,0.906940220006603,0.0210756284946568,0.272253069315979,Endo,EPHA2-AS1,0,16167239,chr1,11169,-11170,intron,TRUE,SINE,Alu,4
chr1_25618560,top1pcEndoOnly,0.823391548310237,0.109534586784473,0.172827321001828,Endo,MAN1C1,0,25618560,chr1,1768,1769,intron,FALSE,,,5
chr1_26030509,top1pcEndoOnly,0.498340630030113,0.222750181125509,0.0942114450891868,Endo,EXTL1,0,26030509,chr1,10624,10625,promoter,FALSE,,,6
chr1_26319849,top1pcEndoOnly,0.737614632386596,0.172000039585432,0.225256075084981,Endo,CD52,0,26319849,chr1,1485,-1486,promoter,TRUE,SINE,Alu,7
chr1_36555214,top1pcEndoOnly,0.61075631477308,0.0939285333379783,0.227613191599024,Endo,LOC107984940,0,36555214,chr1,71935,-71936,intron,FALSE,,,8
chr1_53638146,top1pcEndoOnly,0.796561009550131,0.132772727249955,0.167816665034094,Endo,GLIS1,0,53638146,chr1,101017,101018,intron,FALSE,,,9
chr1_96518976,top1pcEndoOnly,0.835651102591348,0.169030669557295,0.130633307754879,Endo,LOC105378866,0,96518976,chr1,36530,36531,promoter,TRUE,LTR,ERV1,10
chr1_98733419,top1pcEndoOnly,0.688730691013775,0.0137860848528125,0.176496628993144,Endo,SNX7,0,98733419,chr1,71717,71718,intron,TRUE,LINE,L2,11
chr1_112329623,top1pcEndoOnly,0.419765517723572,0.0809593521658706,0.460392747839841,Endo,LINC02884,0,112329623,chr1,40227,40228,intron,FALSE,,,12
chr1_114136997,top1pcEndoOnly,0.45570875877508,0.184130563770605,0.370995173963463,Endo,SYT6,0,114136997,chr1,16882,16883,intron,TRUE,LTR,ERVL-MaLR,13
