sample	chr_pos	meth_pct	coverage
EGAN00001341982	chr18_14600023	25	4
EGAN00001341982	chr18_36160184	100	1
EGAN00001341982	chr18_60868500	100	4
EGAN00001341982	chr18_77421661	80	5
EGAN00001341982	chr2_70202883	100	4
EGAN00001341982	chr2_70896812	0	2
EGAN00001341982	chr2_71024387	100	3
EGAN00001341982	chr2_101245113	100	2
EGAN00001341982	chr2_104373927	100	3
EGAN00001341982	chr2_128902340	0	1
EGAN00001341982	chr2_175400388	100	2
EGAN00001341982	chr2_182031185	100	2
EGAN00001341982	chr2_187003438	66.6666666666667	3
EGAN00001341982	chr2_203707953	100	5
EGAN00001341982	chr2_213001584	50	4
EGAN00001341982	chr2_217062556	100	3
EGAN00001341982	chr2_226994954	100	3
EGAN00001341982	chr2_228500207	37.5	8
EGAN00001341982	chr2_230318605	66.6666666666667	3
EGAN00001341982	chr11_12886036	0	4
EGAN00001341982	chr11_18108059	60	5
EGAN00001341982	chr11_64041133	100	1
EGAN00001341982	chr11_64236610	100	2
EGAN00001341982	chr11_65642354	100	1
EGAN00001341982	chr11_66959350	0	4
EGAN00001341982	chr11_68878159	100	1
EGAN00001341982	chr11_69152182	100	2
EGAN00001341982	chr11_69702042	66.6666666666667	3
EGAN00001341982	chr11_94584351	20	5
EGAN00001341982	chr11_117071886	100	3
EGAN00001341982	chr11_125382866	100	2
EGAN00001341982	chr11_125418747	75	4
EGAN00001341982	chr11_126461346	33.3333333333333	3
EGAN00001341982	chr11_131933432	100	3
EGAN00001341982	chr11_132479453	100	2
EGAN00001341982	chr9_263022	100	2
EGAN00001341982	chr9_6873941	50	2
EGAN00001341982	chr9_11233815	100	7
EGAN00001341982	chr9_20682982	25	4
EGAN00001341982	chr9_21152362	100	1
EGAN00001341982	chr9_36826325	100	1
EGAN00001341982	chr9_42853495	0	1
EGAN00001341982	chr9_63348247	100	3
EGAN00001341982	chr9_76836241	50	2
EGAN00001341982	chr9_77514982	50	2
EGAN00001341982	chr9_78292300	60	5
EGAN00001341982	chr9_78618458	100	3
EGAN00001341982	chr9_80747246	100	2
EGAN00001341982	chr9_81101871	87.5	8
EGAN00001341982	chr9_127752452	100	2
EGAN00001341982	chr9_130376556	100	3
EGAN00001341982	chr9_135481350	100	1
EGAN00001341982	chr12_34421085	0	4
EGAN00001341982	chr12_47817468	0	1
EGAN00001341982	chr12_54329411	100	2
EGAN00001341982	chr12_96485658	100	2
EGAN00001341982	chr12_103365614	54.5454545454545	11
EGAN00001341982	chr12_109264248	0	1
EGAN00001341982	chr12_109925358	100	3
EGAN00001341982	chr12_115334226	16.6666666666667	6
EGAN00001341982	chr12_121366048	16.6666666666667	6
EGAN00001341982	chr12_132417868	100	1
EGAN00001341982	chr12_133232969	100	3
EGAN00001341982	chr5_1597217	60	5
EGAN00001341982	chr5_1778903	50	2
EGAN00001341982	chr5_24317711	75	4
EGAN00001341982	chr5_33600908	100	3
EGAN00001341982	chr5_36017684	40	5
EGAN00001341982	chr5_36953216	87.5	8
EGAN00001341982	chr5_62208520	80	5
EGAN00001341982	chr5_63155217	66.6666666666667	3
EGAN00001341982	chr5_76199453	100	1
EGAN00001341982	chr5_88827334	0	2
EGAN00001341982	chr5_96656366	50	2
EGAN00001341982	chr5_134906266	66.6666666666667	3
EGAN00001341982	chr5_135036179	0	2
EGAN00001341982	chr5_137889034	50	2
EGAN00001341982	chr5_141477532	50	2
EGAN00001341982	chr5_146333950	25	4
EGAN00001341982	chr5_170715905	50	2
EGAN00001341982	chr13_25852742	66.6666666666667	3
EGAN00001341982	chr13_87447540	50	2
EGAN00001341982	chr13_99977890	66.6666666666667	3
EGAN00001341982	chr13_111422484	100	2
EGAN00001341982	chr3_26878167	50	2
EGAN00001341982	chr3_46984285	100	1
EGAN00001341982	chr3_46988170	50	2
EGAN00001341982	chr3_50340540	0	2
EGAN00001341982	chr3_54203074	100	2
EGAN00001341982	chr3_61178549	62.5	8
EGAN00001341982	chr3_72302013	100	6
EGAN00001341982	chr3_75583245	40	5
EGAN00001341982	chr3_75583318	0	2
EGAN00001341982	chr3_95090765	100	5
EGAN00001341982	chr3_98758134	100	1
EGAN00001341982	chr3_122232635	80	5
EGAN00001341982	chr3_124292638	100	2
EGAN00001341982	chr3_126214216	0	1
EGAN00001341982	chr3_141009558	20	5
EGAN00001341982	chr3_157701978	100	1
EGAN00001341982	chr3_161514273	100	6
EGAN00001341982	chr3_187890625	100	1
EGAN00001341982	chr3_196648504	100	1
EGAN00001341982	chr16_10385715	0	1
EGAN00001341982	chr16_11330143	50	2
EGAN00001341982	chr16_26750116	100	1
EGAN00001341982	chr16_29829449	100	2
EGAN00001341982	chr16_31427636	100	1
EGAN00001341982	chr16_31639411	0	1
EGAN00001341982	chr16_32127597	60	5
EGAN00001341982	chr16_49395896	80	5
EGAN00001341982	chr16_57529241	100	2
EGAN00001341982	chr16_73010278	0	4
EGAN00001341982	chr16_83267621	75	4
EGAN00001341982	chr16_85509285	66.6666666666667	3
EGAN00001341982	chr16_88116470	0	1
EGAN00001341982	chr16_88786563	100	1
EGAN00001341982	chr16_88901804	100	1
EGAN00001341982	chrX_8064562	50	6
EGAN00001341982	chrX_9651990	80	5
EGAN00001341982	chrX_10473748	66.6666666666667	3
EGAN00001341982	chrX_14690789	100	1
EGAN00001341982	chrX_19640587	75	4
EGAN00001341982	chrX_29799022	100	8
EGAN00001341982	chrX_30374129	100	3
EGAN00001341982	chrX_45479778	87.5	8
EGAN00001341982	chrX_47084584	100	4
EGAN00001341982	chrX_52246947	100	1
EGAN00001341982	chrX_66086837	66.6666666666667	3
EGAN00001341982	chrX_66639832	75	4
EGAN00001341982	chrX_70303289	66.6666666666667	3
EGAN00001341982	chrX_87489343	100	4
EGAN00001341982	chrX_88018355	100	6
EGAN00001341982	chrX_92117524	75	4
EGAN00001341982	chrX_103155912	50	4
EGAN00001341982	chrX_121786794	42.8571428571429	7
EGAN00001341982	chrX_125833062	77.7777777777778	9
EGAN00001341982	chrX_131200477	66.6666666666667	3
EGAN00001341982	chrX_133812641	33.3333333333333	3
EGAN00001341982	chrX_134890929	100	5
EGAN00001341982	chrX_140679022	0	2
EGAN00001341982	chrX_142933309	88.8888888888889	9
EGAN00001341982	chrX_145393855	0	1
EGAN00001341982	chrX_145459539	66.6666666666667	6
EGAN00001341982	chrX_153892697	0	2
EGAN00001341982	chrX_154793630	80	5
EGAN00001341982	chr1_11644156	100	1
EGAN00001341982	chr1_15584385	100	2
EGAN00001341982	chr1_16167239	100	1
EGAN00001341982	chr1_25618560	0	1
EGAN00001341982	chr1_26319849	0	2
EGAN00001341982	chr1_36555214	40	5
EGAN00001341982	chr1_53638146	50	2
EGAN00001341982	chr1_96518976	100	1
EGAN00001341982	chr1_98733419	100	3
EGAN00001341982	chr1_114136997	0	4
EGAN00001341982	chr1_119005528	60	5
EGAN00001341982	chr1_151197469	100	1
EGAN00001341982	chr1_151352085	100	5
EGAN00001341982	chr1_153022380	0	1
EGAN00001341982	chr1_154707828	100	2
EGAN00001341982	chr1_156193528	50	2
EGAN00001341982	chr1_156246289	0	1
EGAN00001341982	chr1_167629958	25	4
EGAN00001341982	chr1_168997424	100	1
EGAN00001341982	chr1_180935427	100	1
EGAN00001341982	chr1_181629071	66.6666666666667	6
EGAN00001341982	chr1_212917135	100	3
EGAN00001341982	chr1_221839912	0	1
EGAN00001341982	chr22_12168418	0	1
EGAN00001341982	chr22_18958409	100	1
EGAN00001341982	chr22_26630073	100	6
EGAN00001341982	chr22_26665011	100	2
EGAN00001341982	chr22_27803413	100	2
EGAN00001341982	chr22_46262573	50	2
EGAN00001341982	chr22_49646965	100	1
EGAN00001341982	chr22_50499363	100	4
EGAN00001341982	chr14_20747558	100	2
EGAN00001341982	chr14_50363770	0	2
EGAN00001341982	chr14_68434182	100	2
EGAN00001341982	chr14_72645911	100	2
EGAN00001341982	chr14_96585335	100	1
EGAN00001341982	chr14_97459083	20	5
EGAN00001341982	chr14_99617228	50	2
EGAN00001341982	chr14_102126515	75	4
EGAN00001341982	chr7_5164167	100	4
EGAN00001341982	chr7_43199785	0	3
EGAN00001341982	chr7_56454779	100	1
EGAN00001341982	chr7_58045908	100	1
EGAN00001341982	chr7_73565783	100	6
EGAN00001341982	chr7_76166396	100	2
EGAN00001341982	chr7_95917591	83.3333333333333	6
EGAN00001341982	chr7_115420145	100	4
EGAN00001341982	chr7_116306146	66.6666666666667	6
EGAN00001341982	chr7_134355048	50	2
EGAN00001341982	chr6_24684543	0	1
EGAN00001341982	chr6_25263453	100	3
EGAN00001341982	chr6_27187194	50	2
EGAN00001341982	chr6_45236020	100	1
EGAN00001341982	chr6_68487849	33.3333333333333	3
EGAN00001341982	chr6_68633390	50	2
EGAN00001341982	chr6_69431934	100	2
EGAN00001341982	chr6_96784428	80	5
EGAN00001341982	chr6_126033156	50	2
EGAN00001341982	chr6_128911345	100	4
EGAN00001341982	chr6_133948746	25	4
EGAN00001341982	chr6_138523563	50	2
EGAN00001341982	chr6_150490691	100	1
EGAN00001341982	chr6_158356641	100	1
EGAN00001341982	chr6_159578134	100	3
EGAN00001341982	chr20_18728365	100	1
EGAN00001341982	chr20_31274499	100	3
EGAN00001341982	chr20_38892436	0	1
EGAN00001341982	chr20_41378024	66.6666666666667	3
EGAN00001341982	chr20_53469500	85.7142857142857	7
EGAN00001341982	chr20_56318577	25	4
EGAN00001341982	chr20_63131247	100	3
EGAN00001341982	chr20_63165100	100	2
EGAN00001341982	chr15_25644379	50	2
EGAN00001341982	chr15_37642362	87.5	8
EGAN00001341982	chr15_65305540	0	1
EGAN00001341982	chr15_77815002	50	2
EGAN00001341982	chr15_82808150	85.7142857142857	7
EGAN00001341982	chr15_82850898	100	1
EGAN00001341982	chr15_99438835	66.6666666666667	3
EGAN00001341982	chr15_101653213	33.3333333333333	3
EGAN00001341982	chr10_13054037	80	5
EGAN00001341982	chr10_15761856	100	3
EGAN00001341982	chr10_22875783	100	3
EGAN00001341982	chr10_32230625	80	5
EGAN00001341982	chr10_43215249	100	1
EGAN00001341982	chr10_46051416	0	2
EGAN00001341982	chr10_86942707	50	2
EGAN00001341982	chr10_116238155	100	1
EGAN00001341982	chr10_117126088	100	1
EGAN00001341982	chr10_117126333	100	3
EGAN00001341982	chr10_129394840	100	1
EGAN00001341982	chr10_130359215	100	1
EGAN00001341982	chr10_131223999	33.3333333333333	3
EGAN00001341982	chr10_132416091	100	1
EGAN00001341982	chr4_981446	100	1
EGAN00001341982	chr4_4461846	100	1
EGAN00001341982	chr4_6355382	33.3333333333333	3
EGAN00001341982	chr4_7722248	0	4
EGAN00001341982	chr4_8351429	66.6666666666667	3
EGAN00001341982	chr4_12118549	12.5	8
EGAN00001341982	chr4_26822662	0	1
EGAN00001341982	chr4_37436122	100	1
EGAN00001341982	chr4_64314525	75	4
EGAN00001341982	chr4_64927430	66.6666666666667	6
EGAN00001341982	chr4_78704723	100	5
EGAN00001341982	chr4_134394695	100	2
EGAN00001341982	chr4_164959805	50	2
EGAN00001341982	chr4_184040172	0	2
EGAN00001341982	chr4_184097440	50	2
EGAN00001341982	chr4_188315458	100	4
EGAN00001341982	chr17_4692189	100	2
EGAN00001341982	chr17_6985285	0	1
EGAN00001341982	chr17_16415616	0	2
EGAN00001341982	chr17_68247196	75	4
EGAN00001341982	chr17_75539860	100	1
EGAN00001341982	chr17_81080366	0	1
EGAN00001341982	chr21_19898807	0	1
EGAN00001341982	chr21_37565327	100	1
EGAN00001341982	chr21_38664557	66.6666666666667	3
EGAN00001341982	chr21_44344331	100	3
EGAN00001341982	chr21_45819850	33.3333333333333	3
EGAN00001341982	chr8_4462694	100	4
EGAN00001341982	chr8_28419410	80	5
EGAN00001341982	chr8_41725935	0	2
EGAN00001341982	chr8_109229267	100	2
EGAN00001341982	chr8_140469431	50	4
EGAN00001341982	chr8_142700164	0	1
EGAN00001341982	chr8_142907539	80	5
EGAN00001341982	chr19_1081819	100	1
EGAN00001341982	chr19_4208634	100	2
EGAN00001341982	chr19_6933868	100	1
EGAN00001341982	chr19_7620450	100	1
EGAN00001341982	chr19_9960591	100	1
EGAN00001341982	chr19_10547625	100	1
